time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_60deg_1hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000029,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001498,-0.000009,0.0000000000,0.0000000000
0.002000,sine_60deg_1hz,0.0131591262,0.753962,6.5795630970,376.981197,0.0002179008,0.012485,0.1089504081,6.242399,0.0129412254,0.741478,-0.0001505130,-0.008624,0.008624,-0.0752563645,-4.311872,0.0657956281,0.0657956281
0.004000,sine_60deg_1hz,0.0263161744,1.507806,6.5785241078,376.921667,0.0004653296,0.026661,0.1237143915,7.088312,0.0258508448,1.481144,-0.0003212998,-0.018409,0.018409,-0.0853933952,-4.892681,0.0215409599,0.0215409599
0.006000,sine_60deg_1hz,0.0394690670,2.261411,6.5764462933,376.802617,0.0009016809,0.051663,0.2181756563,12.500544,0.0385673861,2.209748,-0.0006223697,-0.035659,0.035659,-0.1505349498,-8.625017,0.0713042954,0.0713042954
0.008000,sine_60deg_1hz,0.0526157270,3.014659,6.5733299816,376.624065,0.0013883680,0.079548,0.2433435422,13.942558,0.0512273590,2.935111,-0.0009578058,-0.054878,0.054878,-0.1677180331,-9.609535,0.0403945739,0.0403945739
0.010000,sine_60deg_1hz,0.0657540783,3.767431,6.5691756650,376.386040,0.0020420961,0.117003,0.3268640552,18.727931,0.0637119822,3.650428,-0.0014080444,-0.080675,0.080675,-0.2251192929,-12.898385,0.0784850092,0.0784850092
0.012000,sine_60deg_1hz,0.0788820463,4.519608,6.5639839994,376.088580,0.0027608218,0.158183,0.3593628582,20.589975,0.0761212245,4.361425,-0.0019023421,-0.108996,0.108996,-0.2471488420,-14.160586,0.0573356957,0.0573356957
0.014000,sine_60deg_1hz,0.0919975579,5.271072,6.5577558047,375.731731,0.0036299081,0.207978,0.4345431110,24.897486,0.0883676498,5.063093,-0.0024994046,-0.143205,0.143205,-0.2985312851,-17.104583,0.0868208221,0.0868208221
0.016000,sine_60deg_1hz,0.1050985420,6.021703,6.5504920642,375.315549,0.0045741334,0.262079,0.4721126798,27.050064,0.1005244086,5.759624,-0.0031469476,-0.180307,0.180307,-0.3237715062,-18.550741,0.0728000589,0.0728000589
0.018000,sine_60deg_1hz,0.1181829299,6.771383,6.5421939252,374.840101,0.0056558483,0.324056,0.5408574286,30.988848,0.1125270816,6.447327,-0.0038877040,-0.222749,0.222749,-0.3703781936,-21.221107,0.0959313025,0.0959313025
0.020000,sine_60deg_1hz,0.1312486553,7.519994,6.5328626978,374.305461,0.0068195171,0.390730,0.5818344255,33.336657,0.1244291382,7.129264,-0.0046829201,-0.268312,0.268312,-0.3976080542,-22.781263,0.0871066064,0.0871066064
0.022000,sine_60deg_1hz,0.1442936550,8.267417,6.5224998558,373.711714,0.0081105927,0.464703,0.6455378097,36.986592,0.1361830622,7.802715,-0.0055635837,-0.318770,0.318770,-0.4403317588,-25.229151,0.1055362638,0.1055362638
0.024000,sine_60deg_1hz,0.1573158691,9.013535,6.5111070354,373.058953,0.0094879870,0.543622,0.6886971323,39.459439,0.1478278821,8.469914,-0.0065008549,-0.372472,0.372472,-0.4686356326,-26.850844,0.1004885719,0.1004885719
0.026000,sine_60deg_1hz,0.1703132411,9.758230,6.4986860357,372.347282,0.0109847442,0.629379,0.7483785753,42.878934,0.1593284970,9.128850,-0.0075170808,-0.430697,0.430697,-0.5081129437,-29.112727,0.1154291383,0.1154291383
0.028000,sine_60deg_1hz,0.1832837188,10.501384,6.4852388181,371.576813,0.0125703780,0.720230,0.7928169479,45.425065,0.1707133407,9.781154,-0.0085906816,-0.492210,0.492210,-0.5368003758,-30.756396,0.1131162977,0.1131162977
0.030000,sine_60deg_1hz,0.1962252538,11.242879,6.4707675062,370.747668,0.0142688199,0.817543,0.8492209263,48.656775,0.1819564339,10.425336,-0.0097376432,-0.557926,0.557926,-0.5734808218,-32.858031,0.1254574308,0.1254574308
0.032000,sine_60deg_1hz,0.2091358025,11.982599,6.4552743850,369.859978,0.0160573628,0.920019,0.8942714478,51.237980,0.1930784397,11.062580,-0.0109416985,-0.626913,0.626913,-0.6020276692,-34.493645,0.1251139870,0.1251139870
0.034000,sine_60deg_1hz,0.2220133263,12.720427,6.4387619012,368.913882,0.0179532443,1.028645,0.9479407350,54.313003,0.2040600821,11.691781,-0.0122141475,-0.699819,0.699819,-0.6362244952,-36.452978,0.1355083700,0.1355083700
0.036000,sine_60deg_1hz,0.2348557917,13.456246,6.4212326623,367.909531,0.0199394646,1.142447,0.9931101546,56.901020,0.2149163271,12.313798,-0.0135426070,-0.775934,0.775934,-0.6642297531,-38.057561,0.1365720021,0.1365720021
0.038000,sine_60deg_1hz,0.2476611705,14.189940,6.4026894363,366.847082,0.0220283438,1.262131,1.0444395916,59.841981,0.2256328268,12.927809,-0.0149349215,-0.855708,0.855708,-0.6961572280,-39.886871,0.1454983753,0.1454983753
0.040000,sine_60deg_1hz,0.2604274408,14.921393,6.3831351513,365.726704,0.0242070683,1.386963,1.0893622669,62.415860,0.2362203726,13.534430,-0.0163815442,-0.938593,0.938593,-0.7233113671,-41.442689,0.1475558939,0.1475558939
0.042000,sine_60deg_1hz,0.2731525866,15.650490,6.3625728954,364.548574,0.0264843448,1.517441,1.1386382378,65.239165,0.2466682419,14.133049,-0.0178877686,-1.024894,1.024894,-0.7531121970,-43.150150,0.1553653248,0.1553653248
0.044000,sine_60deg_1hz,0.2858345985,16.377116,6.3410059155,363.312877,0.0288504294,1.653008,1.1830423233,67.783332,0.2569841691,14.724108,-0.0194461165,-1.114180,1.114180,-0.7791739336,-44.643378,0.1581130307,0.1581130307
0.046000,sine_60deg_1hz,0.2984714737,17.101156,6.3184376172,362.019809,0.0313113729,1.794010,1.2304717521,70.500838,0.2671601008,15.307146,-0.0210599953,-1.206649,1.206649,-0.8069394188,-46.234223,0.1650628982,0.1650628982
0.048000,sine_60deg_1hz,0.3110612168,17.822495,6.2948715643,360.669573,0.0338596818,1.940017,1.2741544543,73.003673,0.2772015350,15.882478,-0.0227234328,-1.301957,1.301957,-0.8317187340,-47.653973,0.1682774675,0.1682774675
0.050000,sine_60deg_1hz,0.3236018398,18.541020,6.2703114783,359.262384,0.0364994539,2.091265,1.3198860305,75.623899,0.2871023859,16.449755,-0.0244384399,-1.400219,1.400219,-0.8575035409,-49.131334,0.1745563355,0.1745563355
0.052000,sine_60deg_1hz,0.3360913623,19.256617,6.2447612374,357.798463,0.0392248446,2.247418,1.3626953389,78.076692,0.2968665177,17.009199,-0.0262001382,-1.501157,1.501157,-0.8808491564,-50.468939,0.1780735114,0.1780735114
0.054000,sine_60deg_1hz,0.3485278120,19.969173,6.2182248763,356.278041,0.0420385150,2.408629,1.4068351970,80.605719,0.3064892971,17.560543,-0.0280095027,-1.604826,1.604826,-0.9046822418,-51.834474,0.1838194983,0.1838194983
0.056000,sine_60deg_1hz,0.3609092252,20.678575,6.1907065854,354.701360,0.0449358281,2.574633,1.4486565490,83.001906,0.3159733971,18.103942,-0.0298624476,-1.710992,1.710992,-0.9264724897,-53.082963,0.1875183541,0.1875183541
0.058000,sine_60deg_1hz,0.3732336466,21.384713,6.1622107102,353.068666,0.0479183875,2.745521,1.4912797178,85.444034,0.3253152591,18.639191,-0.0317591778,-1.819667,1.819667,-0.9483650863,-54.337317,0.1928325437,0.1928325437
0.060000,sine_60deg_1hz,0.3854991301,22.087473,6.1327417504,351.380219,0.0509824399,2.921079,1.5320261946,87.778635,0.3345166902,19.166395,-0.0336961802,-1.930649,1.930649,-0.9685012025,-55.491031,0.1966239952,0.1966239952
0.062000,sine_60deg_1hz,0.3977037388,22.786746,6.1023043597,349.636285,0.0541288099,3.101352,1.5731850242,90.136862,0.3435749289,19.685393,-0.0356730856,-2.043917,2.043917,-0.9884527021,-56.634168,0.2015803001,0.2015803001
0.064000,sine_60deg_1hz,0.4098455455,23.482420,6.0709033443,347.837139,0.0573543902,3.286164,1.6127901537,92.406069,0.3524911553,20.196256,-0.0376867934,-2.159294,2.159294,-1.0068539062,-57.688479,0.2053986538,0.2053986538
0.066000,sine_60deg_1hz,0.4219226328,24.174386,6.0385436630,345.983066,0.0606594312,3.475529,1.6525204909,94.682450,0.3612632016,20.698857,-0.0397365058,-2.276734,2.276734,-1.0248561716,-58.719933,0.2100510593,0.2100510593
0.068000,sine_60deg_1hz,0.4339330937,24.862535,6.0052304256,344.074358,0.0640412972,3.669296,1.6909329788,96.883323,0.3698917965,21.193239,-0.0418194179,-2.396076,2.396076,-1.0414560641,-59.671037,0.2138478214,0.2138478214
0.070000,sine_60deg_1hz,0.4458750315,25.546757,5.9709688927,342.111317,0.0674998144,3.867454,1.7292586260,99.079221,0.3783752170,21.679303,-0.0439344110,-2.517256,2.517256,-1.0574965415,-60.590089,0.2182356926,0.2182356926
0.072000,sine_60deg_1hz,0.4577465604,26.226946,5.9357644746,340.094253,0.0710326915,4.069873,1.7664385576,101.209474,0.3867138689,22.157073,-0.0460788920,-2.640126,2.640126,-1.0722405035,-61.434855,0.2219751040,0.2219751040
0.074000,sine_60deg_1hz,0.4695458059,26.902993,5.8996227304,338.023483,0.0746394414,4.276525,1.8033749263,103.325772,0.3949063645,22.626468,-0.0482515015,-2.764607,2.764607,-1.0863047646,-62.240678,0.2261270141,0.2261270141
0.076000,sine_60deg_1hz,0.4812709046,27.574792,5.8625493675,335.899336,0.0783180227,4.487292,1.8392906538,105.383592,0.4029528819,23.087499,-0.0504497972,-2.890560,2.890560,-1.0991478183,-62.976531,0.2297823898,0.2297823898
0.078000,sine_60deg_1hz,0.4929200051,28.242236,5.8245502400,333.722146,0.0820677164,4.702134,1.8748468653,107.420813,0.4108522887,23.540102,-0.0526722392,-3.017897,3.017897,-1.1112210170,-63.668274,0.2337192582,0.2337192582
0.080000,sine_60deg_1hz,0.5044912678,28.905220,5.7856313486,331.492258,0.0858866629,4.920943,1.9094732295,109.404757,0.4186046049,23.984277,-0.0549164924,-3.146483,3.146483,-1.1221265948,-64.293118,0.2372708915,0.2372708915
0.082000,sine_60deg_1hz,0.5159828655,29.563640,5.7457988389,329.210023,0.0897739710,5.143670,1.9436540515,111.363174,0.4262088945,24.419971,-0.0571808820,-3.276223,3.276223,-1.1321947979,-64.869984,0.2410077834,0.2410077834
0.084000,sine_60deg_1hz,0.5273929835,30.217392,5.7050590009,326.875803,0.0937279125,5.370214,1.9769707400,113.272080,0.4336650710,24.847178,-0.0594631492,-3.406987,3.406987,-1.1411335955,-65.382139,0.2444410109,0.2444410109
0.086000,sine_60deg_1hz,0.5387198200,30.866372,5.6634182680,324.489964,0.0977474683,5.600517,2.0097779123,115.151792,0.4409723517,25.265855,-0.0617615185,-3.538674,3.538674,-1.1491846801,-65.843432,0.2479887976,0.2479887976
0.088000,sine_60deg_1hz,0.5499615864,31.510478,5.6208832157,322.052885,0.1018310050,5.834487,2.0417683411,116.984709,0.4481305815,25.675991,-0.0640737863,-3.671158,3.671158,-1.1561338590,-66.241591,0.2512926784,0.2512926784
0.090000,sine_60deg_1hz,0.5611165076,32.149608,5.5774605607,319.564951,0.1059774081,6.072058,2.0732015509,118.785699,0.4551390995,26.077549,-0.0663981026,-3.804331,3.804331,-1.1621581579,-66.586758,0.2546591718,0.2546591718
0.092000,sine_60deg_1hz,0.5721828219,32.783661,5.5331571601,317.026553,0.1101851122,6.313142,2.1038520445,120.541843,0.4619977097,26.470519,-0.0687323041,-3.938071,3.938071,-1.1671007449,-66.869947,0.2578255181,0.2578255181
0.094000,sine_60deg_1hz,0.5831587819,33.412537,5.4879800099,314.438093,0.1144529315,6.557670,2.1339096448,122.264017,0.4687058504,26.854867,-0.0710744871,-4.072268,4.072268,-1.1710915043,-67.098601,0.2610163041,0.2610163041
0.096000,sine_60deg_1hz,0.5940426544,34.036137,5.4419362439,311.799979,0.1187793491,6.805555,2.1632088368,123.942737,0.4752633053,27.230582,-0.0734225189,-4.206800,4.206800,-1.1740159342,-67.266158,0.2640389699,0.2640389699
0.098000,sine_60deg_1hz,0.6048327207,34.654362,5.3950331332,309.112629,0.1231631259,7.056727,2.1918883751,125.585953,0.4816695948,27.597635,-0.0757744582,-4.341557,4.341557,-1.1759696314,-67.378097,0.2670580208,0.2670580208
0.100000,sine_60deg_1hz,0.6155272768,35.267115,5.3472780842,306.376466,0.1276027794,7.311101,2.2198267689,127.186705,0.4879244974,27.956014,-0.0781281970,-4.476416,4.476416,-1.1768693922,-67.429649,0.2699323796,0.2699323796
0.102000,sine_60deg_1hz,0.6261246341,35.874299,5.2986786380,303.591923,0.1320970303,7.568602,2.2471254561,128.750805,0.4940276038,28.305697,-0.0804817690,-4.611266,4.611266,-1.1767860045,-67.424871,0.2727825045,0.2727825045
0.104000,sine_60deg_1hz,0.6366231190,36.475818,5.2492424690,300.759439,0.1366444204,7.829149,2.2736950364,130.273129,0.4999786986,28.646669,-0.0828330876,-4.745986,4.745986,-1.1756593099,-67.360317,0.2755049874,0.2755049874
0.106000,sine_60deg_1hz,0.6470210738,37.071577,5.1989773837,297.879462,0.1412436400,8.092664,2.2996097776,131.757935,0.5057774338,28.978912,-0.0851801722,-4.880464,4.880464,-1.1735422747,-67.239019,0.2781882306,0.2781882306
0.108000,sine_60deg_1hz,0.6573168565,37.661482,5.1478913197,294.952446,0.1458932480,8.359067,2.3248039993,133.201457,0.5114236085,29.302414,-0.0875209561,-5.014581,5.014581,-1.1703919910,-67.058521,0.2807563048,0.2807563048
0.110000,sine_60deg_1hz,0.6675088411,38.245439,5.0959923440,291.978854,0.1505919117,8.628281,2.3493318904,134.606802,0.5169169294,29.617158,-0.0898534531,-5.148224,5.148224,-1.1662484799,-66.821116,0.2832739666,0.2832739666
0.112000,sine_60deg_1hz,0.6775954184,38.823358,5.0432886519,288.959155,0.1553382021,8.900223,2.3731451857,135.971203,0.5222572163,29.923134,-0.0921756165,-5.281274,5.281274,-1.1610817159,-66.525082,0.2856856431,0.2856856431
0.114000,sine_60deg_1hz,0.6875749956,39.395145,4.9897885662,285.893826,0.1601307694,9.174817,2.3962836303,137.296939,0.5274442262,30.220328,-0.0944854618,-5.413618,5.413618,-1.1549226425,-66.172193,0.2880387815,0.2880387815
0.116000,sine_60deg_1hz,0.6974459966,39.960712,4.9355005350,282.783350,0.1649681926,9.451981,2.4187116268,138.581968,0.5324778040,30.508731,-0.0967809635,-5.545141,5.545141,-1.1477508232,-65.761278,0.2902925061,0.2902925061
0.118000,sine_60deg_1hz,0.7072068629,40.519968,4.8804331310,279.628221,0.1698491091,9.731637,2.4404582363,139.827957,0.5373577538,30.788331,-0.0990601449,-5.675728,5.675728,-1.1395906979,-65.293737,0.2924817246,0.2924817246
0.120000,sine_60deg_1hz,0.7168560530,41.072826,4.8245950501,276.428934,0.1747721039,10.013704,2.4614973913,141.033412,0.5420839491,31.059122,-0.1013210033,-5.805266,5.805266,-1.1304292340,-64.768824,0.2945764832,0.2945764832
0.122000,sine_60deg_1hz,0.7263920432,41.619198,4.7679951097,273.185997,0.1797358045,10.298103,2.4818503116,142.199548,0.5466562387,31.321095,-0.1035615759,-5.933641,5.933641,-1.1202863074,-64.187677,0.2966023054,0.2966023054
0.124000,sine_60deg_1hz,0.7358133277,42.158998,4.7106422476,269.899920,0.1847388004,10.584754,2.5014979504,143.325275,0.5510745273,31.574245,-0.1057798850,-6.060741,6.060741,-1.1091545395,-63.549874,0.2985373045,0.2985373045
0.126000,sine_60deg_1hz,0.7451184188,42.692141,4.6525455204,266.571222,0.1897797121,10.873577,2.5204558362,144.411482,0.5553387067,31.818564,-0.1079739864,-6.186454,6.186454,-1.0970507023,-62.856375,0.3004001413,0.3004001413
0.128000,sine_60deg_1hz,0.7543058470,43.218541,4.5937141024,263.200430,0.1948571323,11.164491,2.5387101051,145.457374,0.5594487147,32.054050,-0.1101419300,-6.310668,6.310668,-1.0839717834,-62.107008,0.3021748382,0.3021748382
0.130000,sine_60deg_1hz,0.7633741615,43.738118,4.5341572837,259.788076,0.1999696768,11.457419,2.5562722438,146.463611,0.5634044848,32.280699,-0.1122817951,-6.433273,6.433273,-1.0699325660,-61.302620,0.3038750411,0.3038750411
0.132000,sine_60deg_1hz,0.7723219305,44.250787,4.4738844690,256.334698,0.2051159407,11.752278,2.5731319440,147.429601,0.5672059898,32.498509,-0.1143916617,-6.554159,6.554159,-1.0549332623,-60.443224,0.3054890246,0.3054890246
0.134000,sine_60deg_1hz,0.7811477408,44.756469,4.4129051761,252.840842,0.2102945369,12.048989,2.5892981045,148.355853,0.5708532039,32.707479,-0.1164696369,-6.673219,6.673219,-1.0389876450,-59.529607,0.3070270568,0.3070270568
0.136000,sine_60deg_1hz,0.7898501989,45.255083,4.3512290343,249.307059,0.2155040631,12.347473,2.6047630980,149.241932,0.5743461358,32.907610,-0.1185138340,-6.790343,6.790343,-1.0220985270,-58.561932,0.3084802055,0.3084802055
0.138000,sine_60deg_1hz,0.7984279305,45.746551,4.2888657829,245.733908,0.2207431304,12.647650,2.6195336405,150.088222,0.5776848001,33.098901,-0.1205223919,-6.905424,6.905424,-1.0042789284,-57.540944,0.3098562389,0.3098562389
