time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_60deg_1hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000019,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001491,-0.000009,0.0000000000,0.0000000000
0.002000,sine_60deg_1hz,0.0131591262,0.753962,6.5795630970,376.981197,0.0001278753,0.007327,0.0639376468,3.663357,0.0130312509,0.746636,-0.0000883291,-0.005061,0.005061,-0.0441643885,-2.530433,0.0657956291,0.0657956291
0.004000,sine_60deg_1hz,0.0263161744,1.507806,6.5785241078,376.921667,0.0003605927,0.020660,0.1163587178,6.666863,0.0259555817,1.487145,-0.0002490047,-0.014267,0.014267,-0.0803378205,-4.603018,0.0670038488,0.0670038488
0.006000,sine_60deg_1hz,0.0394690670,2.261411,6.5764462933,376.802617,0.0007010436,0.040167,0.1702254465,9.753200,0.0387680234,2.221244,-0.0004839220,-0.027727,0.027727,-0.1174586638,-6.729886,0.0791836535,0.0791836535
0.008000,sine_60deg_1hz,0.0526157270,3.014659,6.5733299816,376.624065,0.0011476216,0.065754,0.2232889683,12.793515,0.0514681054,2.948905,-0.0007918320,-0.045369,0.045369,-0.1539549562,-8.820969,0.0893479702,0.0893479702
0.010000,sine_60deg_1hz,0.0657540783,3.767431,6.5691756650,376.386040,0.0016994875,0.097373,0.2759329743,15.809795,0.0640545908,3.670058,-0.0011719799,-0.067150,0.067150,-0.1900739608,-10.890436,0.0997433153,0.0997433153
0.012000,sine_60deg_1hz,0.0788820463,4.519608,6.5639839994,376.088580,0.0023556587,0.134969,0.3280856048,18.797920,0.0765263876,4.384639,-0.0016234767,-0.093018,0.093018,-0.2257483979,-12.934430,0.1099798196,0.1099798196
0.014000,sine_60deg_1hz,0.0919975579,5.271072,6.5577558047,375.731731,0.0031151665,0.178486,0.3797538936,21.758295,0.0888823914,5.092586,-0.0021454082,-0.122923,0.122923,-0.2609657421,-14.952236,0.1201238911,0.1201238911
0.016000,sine_60deg_1hz,0.1050985420,6.021703,6.5504920642,375.315549,0.0039770291,0.227867,0.4309312750,24.690543,0.1011215130,5.793836,-0.0027368168,-0.156808,0.156808,-0.2957043261,-16.942610,0.1301629840,0.1301629840
0.018000,sine_60deg_1hz,0.1181829299,6.771383,6.5421939252,374.840101,0.0049402562,0.283056,0.4816135926,27.594426,0.1132426736,6.488327,-0.0033967056,-0.194617,0.194617,-0.3299444153,-18.904422,0.1400982291,0.1400982291
