time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_30deg_2hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000029,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001491,-0.000009,0.0000000000,0.0000000000
0.002000,sine_30deg_2hz,0.0131580872,0.753903,6.5790436024,376.951432,0.0004353341,0.024943,0.2176670534,12.471403,0.0127227531,0.728960,-0.0002994263,-0.017156,0.017156,-0.1497129775,-8.577922,0.1315808691,0.1315808691
0.004000,sine_30deg_2hz,0.0263078635,1.507330,6.5748881374,376.713341,0.0009231775,0.052894,0.2439217066,13.975684,0.0253846860,1.454435,-0.0006347265,-0.036367,0.036367,-0.1676501245,-9.605645,0.0410582403,0.0410582403
0.006000,sine_30deg_2hz,0.0394410231,2.259804,6.5665798322,376.237310,0.0017852346,0.102286,0.4310285371,24.696116,0.0376557885,2.157518,-0.0012269952,-0.070302,0.070302,-0.2961343692,-16.967250,0.1412567496,0.1412567496
0.008000,sine_30deg_2hz,0.0525492710,3.010851,6.5541239344,375.523640,0.0027360180,0.156762,0.4753917246,27.237939,0.0498132530,2.854089,-0.0018795009,-0.107687,0.107687,-0.3262528124,-18.692909,0.0766118270,0.0766118270
0.010000,sine_30deg_2hz,0.0656243276,3.759997,6.5375283115,374.572781,0.0040131046,0.229934,0.6385432544,36.585834,0.0616112231,3.530063,-0.0027553110,-0.157868,0.157868,-0.4379050526,-25.090111,0.1534913713,0.1534913713
0.012000,sine_30deg_2hz,0.0786579345,4.506768,6.5168034456,373.385333,0.0054032457,0.309583,0.6950705888,39.824611,0.0732546888,4.197184,-0.0037072539,-0.212410,0.212410,-0.4759714428,-27.271155,0.1079050453,0.1079050453
0.014000,sine_30deg_2hz,0.0916418594,5.250692,6.4919624269,371.962048,0.0070815286,0.405742,0.8391414459,48.079263,0.0845603308,4.844950,-0.0048552654,-0.278186,0.278186,-0.5740057768,-32.888108,0.1673155476,0.1673155476
0.016000,sine_30deg_2hz,0.1045679013,5.991299,6.4630209456,370.303823,0.0088883116,0.509263,0.9033914873,51.760519,0.0956795897,5.482037,-0.0060889238,-0.348870,0.348870,-0.6168291870,-35.341709,0.1357222806,0.1357222806
0.018000,sine_30deg_2hz,0.1174278958,6.728123,6.4299972817,368.411707,0.0109522591,0.627518,1.0319737652,59.127741,0.1064756367,6.100605,-0.0074960960,-0.429495,0.429495,-0.7035861211,-40.312515,0.1820043551,0.1820043551
0.020000,sine_30deg_2hz,0.1302137204,7.460697,6.3929122938,366.286893,0.0131535054,0.753640,1.1006231452,63.061061,0.1170602150,6.707056,-0.0089936039,-0.515296,0.515296,-0.7487539308,-42.900440,0.1606408477,0.1606408477
0.022000,sine_30deg_2hz,0.1429172992,8.188558,6.3517894054,363.930725,0.0155862234,0.893025,1.2163589791,69.692236,0.1273310759,7.295533,-0.0106454635,-0.609940,0.609940,-0.8259298280,-47.322293,0.1970147929,0.1970147929
0.024000,sine_30deg_2hz,0.1555306084,8.911247,6.3066545907,361.344691,0.0181600568,1.040495,1.2869167307,73.734897,0.1373705516,7.870753,-0.0123886870,-0.709819,0.709819,-0.8716117087,-49.939672,0.1830848713,0.1830848713
0.026000,sine_30deg_2hz,0.1680456811,9.628308,6.2575363578,358.530423,0.0209435475,1.199977,1.3917453388,79.741134,0.1471021336,8.428331,-0.0142695454,-0.817585,0.817585,-0.9404292103,-53.882625,0.2119395122,0.2119395122
0.028000,sine_30deg_2hz,0.1804546126,10.339288,6.2044657308,355.489701,0.0238682293,1.367549,1.4623408848,83.785961,0.1565863833,8.971739,-0.0162400087,-0.930484,0.930484,-0.9852316419,-56.449615,0.2033653119,0.2033653119
0.030000,sine_30deg_2hz,0.1927495651,11.043737,6.1474762303,352.224443,0.0269835935,1.546046,1.5576820869,89.248609,0.1657659716,9.497691,-0.0183331411,-1.050412,1.050412,-1.0465662235,-59.963828,0.2264724728,0.2264724728
0.032000,sine_30deg_2hz,0.2049227728,11.741210,6.0866038520,348.736712,0.0302374093,1.732476,1.6269079019,93.214956,0.1746853635,10.008734,-0.0205119901,-1.175250,1.175250,-1.0894244864,-62.419425,0.2217097060,0.2217097060
0.034000,sine_30deg_2hz,0.2169665468,12.431267,6.0218870443,345.028712,0.0336650062,1.928863,1.7137984727,98.193419,0.1833015406,10.502405,-0.0227997869,-1.306332,1.306332,-1.1438984220,-65.540552,0.2403834739,0.2403834739
0.036000,sine_30deg_2hz,0.2288732802,13.113473,5.9533666836,341.102785,0.0372261931,2.132904,1.7805934264,102.020488,0.1916470871,10.980569,-0.0251677798,-1.442008,1.442008,-1.1839964502,-67.838000,0.2382842674,0.2382842674
0.038000,sine_30deg_2hz,0.2406354523,13.787396,5.8810860490,336.961410,0.0409457697,2.346020,1.8597883373,106.558023,0.1996896826,11.441376,-0.0276318768,-1.583190,1.583190,-1.2320484968,-70.591179,0.2534991661,0.2534991661
0.040000,sine_30deg_2hz,0.2522456339,14.452610,5.8050907943,332.607202,0.0447924719,2.566420,1.9233510577,110.199898,0.2074531620,11.886191,-0.0301693954,-1.728579,1.728579,-1.2687592682,-72.694551,0.2532103043,0.2532103043
0.042000,sine_30deg_2hz,0.2636964917,15.108696,5.7254289199,328.042913,0.0487832695,2.795075,1.9953988022,114.327930,0.2149132223,12.313621,-0.0327907882,-1.878774,1.878774,-1.3106964157,-75.097373,0.2656891412,0.2656891412
0.044000,sine_30deg_2hz,0.2749807932,15.755239,5.6421507418,323.271425,0.0528935165,3.030575,2.0551235019,117.749903,0.2220872768,12.724664,-0.0354778636,-2.032732,2.032732,-1.3435376993,-76.979040,0.2665764354,0.2665764354
0.046000,sine_30deg_2hz,0.2860914109,16.391830,5.5553088604,318.295752,0.0571343605,3.273558,2.1204220059,121.491232,0.2289570505,13.118273,-0.0382370105,-2.190819,2.190819,-1.3795734776,-79.043738,0.2768554430,0.2768554430
0.048000,sine_30deg_2hz,0.2970213272,17.018068,5.4649581269,313.119036,0.0614860622,3.522892,2.1758508719,124.667072,0.2355352650,13.495177,-0.0410533603,-2.352184,2.352184,-1.4081748934,-80.682478,0.2784476613,0.2784476613
0.050000,sine_30deg_2hz,0.3077636384,17.633558,5.3711556087,307.744547,0.0659554402,3.778968,2.2346889799,128.038247,0.2418081982,13.854589,-0.0439302757,-2.517019,2.517019,-1.4384576890,-82.417555,0.2869248901,0.2869248901
0.052000,sine_30deg_2hz,0.3183115595,18.237909,5.2739605535,302.175681,0.0705263941,4.040865,2.2854769856,130.948185,0.2477851654,14.197044,-0.0468553482,-2.684614,2.684614,-1.4625362534,-83.797155,0.2888722135,0.2888722135
0.054000,sine_30deg_2hz,0.3286584282,18.830741,5.1734343517,296.415954,0.0752025255,4.308787,2.3380656778,133.961296,0.2534559027,14.521954,-0.0498296892,-2.855031,2.855031,-1.4871705117,-85.208594,0.2958433551,0.2958433551
