time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_60deg_1hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000016,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001489,-0.000009,0.0000000000,0.0000000000
0.002000,sine_60deg_1hz,0.0131591262,0.753962,6.5795630970,376.981197,0.0001109642,0.006358,0.0554821231,3.178891,0.0130481619,0.747605,-0.0000766480,-0.004392,0.004392,-0.0383238462,-2.195795,0.0657956293,0.0657956293
0.004000,sine_60deg_1hz,0.0263161744,1.507806,6.5785241078,376.921667,0.0003273342,0.018755,0.1081849643,6.198542,0.0259888402,1.489051,-0.0002260413,-0.012951,0.012951,-0.0746966527,-4.279803,0.0755439277,0.0755439277
0.006000,sine_60deg_1hz,0.0394690670,2.261411,6.5764462933,376.802617,0.0006484220,0.037152,0.1605439281,9.198490,0.0388206450,2.224259,-0.0004476083,-0.025646,0.025646,-0.1107834887,-6.347426,0.0875236998,0.0875236998
0.008000,sine_60deg_1hz,0.0526157270,3.014659,6.5733299816,376.624065,0.0010733194,0.061497,0.2124487025,12.172414,0.0515424075,2.953162,-0.0007405892,-0.042433,0.042433,-0.1464904709,-8.393286,0.0992925965,0.0992925965
0.010000,sine_60deg_1hz,0.0657540783,3.767431,6.5691756650,376.386040,0.0016011176,0.091737,0.2638990931,15.120304,0.0641529607,3.675694,-0.0011041892,-0.063265,0.063265,-0.1818000068,-10.416373,0.1109550918,0.1109550918
0.012000,sine_60deg_1hz,0.0788820463,4.519608,6.5639839994,376.088580,0.0022308980,0.127821,0.3148901899,18.041879,0.0766511483,4.391787,-0.0015375722,-0.088096,0.088096,-0.2166914620,-12.415506,0.1225055503,0.1225055503
0.014000,sine_60deg_1hz,0.0919975579,5.271072,6.5577558047,375.731731,0.0029617327,0.169695,0.3654173337,20.936871,0.0890358252,5.101377,-0.0020398614,-0.116875,0.116875,-0.2511446058,-14.389526,0.1339431096,0.1339431096
0.016000,sine_60deg_1hz,0.1050985420,6.021703,6.5504920642,375.315549,0.0037926845,0.217305,0.4154759022,23.805016,0.1013058575,5.804398,-0.0026101403,-0.149550,0.149550,-0.2851394760,-16.337289,0.1452667131,0.1452667131
0.018000,sine_60deg_1hz,0.1181829299,6.771383,6.5421939252,374.840101,0.0047228071,0.270597,0.4650613204,26.646051,0.1134601228,6.500786,-0.0032474531,-0.186065,0.186065,-0.3186563990,-18.257667,0.1564753248,0.1564753248
0.020000,sine_60deg_1hz,0.1312486553,7.519994,6.5328626978,374.305461,0.0057511452,0.329516,0.5141690612,29.459717,0.1254975100,7.190478,-0.0039508051,-0.226364,0.226364,-0.3516760017,-20.149551,0.1675679203,0.1675679203
0.022000,sine_60deg_1hz,0.1442936550,8.267417,6.5224998558,373.711714,0.0068767345,0.394008,0.5627946460,32.245758,0.1374169205,7.873410,-0.0047191636,-0.270388,0.270388,-0.3841792245,-22.011848,0.1785434875,0.1785434875
0.024000,sine_60deg_1hz,0.1573158691,9.013535,6.5111070354,373.058953,0.0080986018,0.464016,0.6109336462,35.003919,0.1492172672,8.549520,-0.0055514582,-0.318075,0.318075,-0.4161473333,-23.843486,0.1894010266,0.1894010266
0.026000,sine_60deg_1hz,0.1703132411,9.758230,6.4986860357,372.347282,0.0094157652,0.539484,0.6585816836,37.733951,0.1608974759,9.218746,-0.0064465821,-0.369362,0.369362,-0.4475619309,-25.643410,0.2001395503,0.2001395503
0.028000,sine_60deg_1hz,0.1832837188,10.501384,6.4852388181,371.576813,0.0108272341,0.620355,0.7057344318,40.435604,0.1724564847,9.881029,-0.0074033920,-0.424183,0.424183,-0.4784049685,-27.410586,0.2107580843,0.2107580843
0.030000,sine_60deg_1hz,0.1962252538,11.242879,6.4707675062,370.747668,0.0123320093,0.706572,0.7523876168,43.108635,0.1838932445,10.536307,-0.0084207095,-0.482471,0.482471,-0.5086587564,-29.144000,0.2212556668,0.2212556668
0.032000,sine_60deg_1hz,0.2091358025,11.982599,6.4552743850,369.859978,0.0139290833,0.798078,0.7985370179,45.752801,0.1952067192,11.184521,-0.0094973215,-0.544156,0.544156,-0.5383059745,-30.842660,0.2316313495,0.2316313495
0.034000,sine_60deg_1hz,0.2220133263,12.720427,6.4387619012,368.913882,0.0156174403,0.894813,0.8441784690,48.367863,0.2063958861,11.825613,-0.0106319809,-0.609168,0.609168,-0.5673296822,-32.505596,0.2418841972,0.2418841972
0.036000,sine_60deg_1hz,0.2348557917,13.456246,6.4212326623,367.909531,0.0173960560,0.996721,0.8893078589,50.953587,0.2174597357,12.459525,-0.0118234075,-0.677431,0.677431,-0.5957133283,-34.131860,0.2520132880,0.2520132880
0.038000,sine_60deg_1hz,0.2476611705,14.189940,6.4026894363,366.847082,0.0192638982,1.103740,0.9339211324,53.509739,0.2283972723,13.086200,-0.0130702890,-0.748872,0.748872,-0.6234407597,-35.720524,0.2620177140,0.2620177140
0.040000,sine_60deg_1hz,0.2604274408,14.921393,6.3831351513,365.726704,0.0212199268,1.215812,0.9780142914,56.036091,0.2392075140,13.705581,-0.0143712815,-0.823414,0.823414,-0.6504962306,-37.270689,0.2718965806,0.2718965806
0.042000,sine_60deg_1hz,0.2731525866,15.650490,6.3625728954,364.548574,0.0232630936,1.332877,1.0215833955,58.532417,0.2498894930,14.317613,-0.0157250103,-0.900977,0.900977,-0.6768644104,-38.781474,0.2816490077,0.2816490077
0.044000,sine_60deg_1hz,0.2858345985,16.377116,6.3410059155,363.312877,0.0253923427,1.454874,1.0646245628,60.998494,0.2604422557,14.922242,-0.0171300711,-0.981481,0.981481,-0.7025303920,-40.252026,0.2912741288,0.2912741288
0.046000,sine_60deg_1hz,0.2984714737,17.101156,6.3184376172,362.019809,0.0276066106,1.581742,1.1071339521,63.434103,0.2708648631,15.519413,-0.0185850305,-1.064844,1.064844,-0.7274796861,-41.681516,0.3007710919,0.3007710919
0.048000,sine_60deg_1hz,0.3110612168,17.822495,6.2948715643,360.669573,0.0299048263,1.713420,1.1491078401,65.839029,0.2811563905,16.109075,-0.0200884270,-1.150982,1.150982,-0.7516982809,-43.069139,0.3101390788,0.3101390788
0.050000,sine_60deg_1hz,0.3236018398,18.541020,6.2703114783,359.262384,0.0322859113,1.849846,1.1905425048,68.213061,0.2913159284,16.691173,-0.0216387722,-1.239810,1.239810,-0.7751725681,-44.414117,0.3193772272,0.3193772272
0.052000,sine_60deg_1hz,0.3360913623,19.256617,6.2447612374,357.798463,0.0347487800,1.990958,1.2314343076,70.555989,0.3013425823,17.265658,-0.0232345510,-1.331242,1.331242,-0.7978894048,-45.715695,0.3284847498,0.3284847498
0.054000,sine_60deg_1hz,0.3485278120,19.969173,6.2182248763,356.278041,0.0372923393,2.136694,1.2717796716,72.867608,0.3112354727,17.832479,-0.0248742232,-1.425188,1.425188,-0.8198361041,-46.973149,0.3374608528,0.3374608528
0.056000,sine_60deg_1hz,0.3609092252,20.678575,6.1907065854,354.701360,0.0399154895,2.286989,1.3115750835,75.147717,0.3209937357,18.391586,-0.0265562241,-1.521560,1.521560,-0.8410004408,-48.185776,0.3463047578,0.3463047578
0.058000,sine_60deg_1hz,0.3732336466,21.384713,6.1622107102,353.068666,0.0426171237,2.441781,1.3508170939,77.396118,0.3306165230,18.942931,-0.0282789654,-1.620265,1.620265,-0.8613706569,-49.352903,0.3550157022,0.3550157022
0.060000,sine_60deg_1hz,0.3854991301,22.087473,6.1327417504,351.380219,0.0453961283,2.601007,1.3895023181,79.612618,0.3401030018,19.486467,-0.0300408363,-1.721213,1.721213,-0.8809354652,-50.473884,0.3635929384,0.3635929384
0.062000,sine_60deg_1hz,0.3977037388,22.786746,6.1023043597,349.636285,0.0482513832,2.764601,1.4276274373,81.797027,0.3494523557,20.022145,-0.0318402044,-1.824309,1.824309,-0.8996840546,-51.548099,0.3720357346,0.3720357346
0.064000,sine_60deg_1hz,0.4098455455,23.482420,6.0709033443,347.837139,0.0511817616,2.932499,1.4651892019,83.949157,0.3586637839,20.549921,-0.0336754166,-1.929459,1.929459,-0.9176060950,-52.574956,0.3803433745,0.3803433745
0.066000,sine_60deg_1hz,0.4219226328,24.174386,6.0385436630,345.983066,0.0541861304,3.104637,1.5021844195,86.068827,0.3677365024,21.069750,-0.0355448001,-2.036567,2.036567,-0.9346917324,-53.553891,0.3885151545,0.3885151545
0.068000,sine_60deg_1hz,0.4339330937,24.862535,6.0052304256,344.074358,0.0572633504,3.280948,1.5386099752,88.155858,0.3766697433,21.581587,-0.0374466633,-2.145536,2.145536,-0.9509316053,-54.484368,0.3965503970,0.3965503970
0.070000,sine_60deg_1hz,0.4458750315,25.546757,5.9709688927,342.111317,0.0604122760,3.461368,1.5744628190,90.210075,0.3854627555,22.085389,-0.0393792970,-2.256268,2.256268,-0.9663168376,-55.365876,0.4044484304,0.4044484304
0.072000,sine_60deg_1hz,0.4577465604,26.226946,5.9357644746,340.094253,0.0636317559,3.645831,1.6097399698,92.231306,0.3941148045,22.581115,-0.0413409751,-2.368663,2.368663,-0.9808390442,-56.197938,0.4122086032,0.4122086032
0.074000,sine_60deg_1hz,0.4695458059,26.902993,5.8996227304,338.023483,0.0669206328,3.834270,1.6444384143,94.219381,0.4026251731,23.068723,-0.0433299556,-2.482624,2.482624,-0.9944902614,-56.980095,0.4198302800,0.4198302800
0.076000,sine_60deg_1hz,0.4812709046,27.574792,5.8625493675,335.899336,0.0702777438,4.026618,1.6785555200,96.174147,0.4109931608,23.548174,-0.0453444820,-2.598047,2.598047,-1.0072632340,-57.711932,0.4273129450,0.4273129450
0.078000,sine_60deg_1hz,0.4929200051,28.242236,5.8245502400,333.722146,0.0737019206,4.222809,1.7120884048,98.095440,0.4192180845,24.019427,-0.0473827840,-2.714834,2.714834,-1.0191509804,-58.393050,0.4346557865,0.4346557865
