time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_60deg_1hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000018,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001491,-0.000009,0.0000000000,0.0000000000
0.002000,sine_60deg_1hz,0.0131591262,0.753962,6.5795630970,376.981197,0.0001241811,0.007115,0.0620905545,3.557527,0.0130349451,0.746847,-0.0000857774,-0.004915,0.004915,-0.0428885337,-2.457332,0.0657956291,0.0657956291
0.004000,sine_60deg_1hz,0.0263161744,1.507806,6.5785241078,376.921667,0.0003537086,0.020266,0.1147637265,6.575477,0.0259624658,1.487540,-0.0002442516,-0.013995,0.013995,-0.0792371377,-4.539954,0.0688694120,0.0688694120
0.006000,sine_60deg_1hz,0.0394690670,2.261411,6.5764462933,376.802617,0.0006902485,0.039548,0.1682699543,9.641158,0.0387788185,2.221863,-0.0004764726,-0.027300,0.027300,-0.1161104928,-6.652641,0.0808130657,0.0808130657
0.008000,sine_60deg_1hz,0.0526157270,3.014659,6.5733299816,376.624065,0.0011324905,0.064887,0.2211210271,12.669302,0.0514832364,2.949772,-0.0007813972,-0.044771,0.044771,-0.1524623049,-8.735447,0.0913574381,0.0913574381
0.010000,sine_60deg_1hz,0.0657540783,3.767431,6.5691756650,376.386040,0.0016795442,0.096231,0.2735268310,15.671933,0.0640745341,3.671200,-0.0011582369,-0.066362,0.066362,-0.1884198213,-10.795661,0.1019869117,0.1019869117
0.012000,sine_60deg_1hz,0.0788820463,4.519608,6.5639839994,376.088580,0.0023304475,0.133525,0.3254516656,18.647007,0.0765515988,4.386084,-0.0016061185,-0.092024,0.092024,-0.2239408230,-12.830864,0.1124856795,0.1124856795
0.014000,sine_60deg_1hz,0.0919975579,5.271072,6.5577558047,375.731731,0.0030842383,0.176714,0.3768954077,21.594516,0.0889133196,5.094358,-0.0021241344,-0.121704,0.121704,-0.2590079128,-14.840060,0.1228838862,0.1228838862
0.016000,sine_60deg_1hz,0.1050985420,6.021703,6.5504920642,375.315549,0.0039399440,0.225742,0.4278528406,24.514162,0.1011585980,5.795961,-0.0027113352,-0.155348,0.155348,-0.2936004266,-16.822065,0.1331761107,0.1331761107
0.018000,sine_60deg_1hz,0.1181829299,6.771383,6.5421939252,374.840101,0.0048965831,0.280554,0.4783195385,27.405691,0.1132863468,6.490830,-0.0033667322,-0.192900,0.192900,-0.3276985124,-18.775742,0.1433620887,0.1433620887
