time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_45deg_1.5hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000028,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001485,-0.000009,0.0000000000,0.0000000000
0.002000,sine_45deg_1.5hz,0.0148035299,0.848180,7.4017649677,424.089894,0.0002443428,0.014000,0.1221713906,6.999905,0.0145591871,0.834180,-0.0001673512,-0.009589,0.009589,-0.0836754356,-4.794249,0.0740176468,0.0740176468
0.004000,sine_45deg_1.5hz,0.0296018002,1.696058,7.3991351558,423.939216,0.0005230886,0.029971,0.1393729223,7.985480,0.0290787116,1.666087,-0.0003581302,-0.020519,0.020519,-0.0953894946,-5.465415,0.0246158967,0.0246158967
0.006000,sine_45deg_1.5hz,0.0443895532,2.543334,7.3938764665,423.637916,0.0010125889,0.058017,0.2447501316,14.023150,0.0433769643,2.485317,-0.0006930196,-0.039707,0.039707,-0.1674447126,-9.593875,0.0799594004,0.0799594004
0.008000,sine_45deg_1.5hz,0.0591615347,3.389706,7.3859907681,423.186099,0.0015603353,0.089401,0.2738731785,15.691777,0.0576011995,3.300306,-0.0010673573,-0.061155,0.061155,-0.1871688703,-10.723986,0.0459945975,0.0459945975
0.010000,sine_45deg_1.5hz,0.0739124964,4.234874,7.3754808623,422.583925,0.0022936649,0.131417,0.3666648028,21.008346,0.0716188316,4.103457,-0.0015681612,-0.089849,0.089849,-0.2504019228,-14.346973,0.0878876275,0.0878876275
0.012000,sine_45deg_1.5hz,0.0886371974,5.078537,7.3623504833,421.831610,0.0031016583,0.177712,0.4039967430,23.147308,0.0855355391,4.900825,-0.0021191781,-0.121420,0.121420,-0.2755084814,-15.785473,0.0650528599,0.0650528599
0.014000,sine_45deg_1.5hz,0.1033304060,5.920396,7.3466042962,420.929420,0.0040761258,0.233545,0.4872337479,27.916437,0.0992542802,5.686851,-0.0027830040,-0.159454,0.159454,-0.3319129452,-19.017211,0.0971469953,0.0971469953
0.016000,sine_45deg_1.5hz,0.1179869018,6.760152,7.3282478956,419.877676,0.0051362602,0.294286,0.5300671794,30.370612,0.1128506416,6.465865,-0.0035039351,-0.200761,0.200761,-0.3604655217,-20.653153,0.0823201319,0.0823201319
0.018000,sine_45deg_1.5hz,0.1326014774,7.597505,7.3072878034,418.676751,0.0063481160,0.363720,0.6059279021,34.717111,0.1262533614,7.233785,-0.0043268424,-0.247910,0.247910,-0.4114536528,-23.574558,0.1072589066,0.1072589066
0.020000,sine_45deg_1.5hz,0.1471689403,8.432159,7.2837314666,417.327072,0.0076526844,0.438467,0.6522842101,37.373132,0.1395162559,7.993693,-0.0052108786,-0.298561,0.298561,-0.4420181208,-25.325773,0.0981762196,0.0981762196
0.022000,sine_45deg_1.5hz,0.1616841148,9.263817,7.2575872547,415.829119,0.0090973441,0.521239,0.7223298420,41.386451,0.1525867707,8.742578,-0.0061880436,-0.354549,0.354549,-0.4885825031,-27.993715,0.1178729420,0.1178729420
0.024000,sine_45deg_1.5hz,0.1761418438,10.092184,7.2288644567,414.183424,0.0106388620,0.609562,0.7707589549,44.161235,0.1655029817,9.482622,-0.0072282238,-0.414147,0.414147,-0.5200901096,-29.798968,0.1128926563,0.1128926563
