time_s,profile_name,target_rad,target_deg,target_vel_rad_s,target_vel_deg_s,cylinder_q_rad,cylinder_q_deg,cylinder_qd_rad_s,cylinder_qd_deg_s,tracking_error_rad,tracking_error_deg,pole_q_rad,pole_q_deg,pole_lift_deg,pole_qd_rad_s,pole_qd_deg_s,actuator_force_nm,qfrc_actuator_nm
0.000000,sine_60deg_1hz,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000000,0.000000,0.0000000031,0.000000,-0.0000000000,-0.000000,-0.0000000003,-0.000000,0.000000,-0.0000001568,-0.000009,0.0000000000,0.0000000000
0.002000,sine_60deg_1hz,0.0131591262,0.753962,6.5795630970,376.981197,0.0002219845,0.012719,0.1109922376,6.359387,0.0129371417,0.741244,-0.0001603872,-0.009190,0.009190,-0.0801934543,-4.594746,0.0657956279,0.0657956279
0.004000,sine_60deg_1hz,0.0263161744,1.507806,6.5785241078,376.921667,0.0004670800,0.026762,0.1225477472,7.021469,0.0258490944,1.481044,-0.0003373861,-0.019331,0.019331,-0.0884994630,-5.070646,0.0194787121,0.0194787121
0.006000,sine_60deg_1hz,0.0394690670,2.261411,6.5764462933,376.802617,0.0009098779,0.052132,0.2213989424,12.685225,0.0385591891,2.209279,-0.0006570497,-0.037646,0.037646,-0.1598317764,-9.157686,0.0724621879,0.0724621879
0.008000,sine_60deg_1hz,0.0526157270,3.014659,6.5733299816,376.624065,0.0013932502,0.079827,0.2416861559,13.847597,0.0512224768,2.934832,-0.0010056833,-0.057621,0.057621,-0.1743167801,-9.987616,0.0371303031,0.0371303031
0.010000,sine_60deg_1hz,0.0657540783,3.767431,6.5691756650,376.386040,0.0020546775,0.117724,0.3307136775,18.948498,0.0636994008,3.649707,-0.0014824378,-0.084937,0.084937,-0.2383772540,-13.658011,0.0801179847,0.0801179847
0.012000,sine_60deg_1hz,0.0788820463,4.519608,6.5639839994,376.088580,0.0027699598,0.158707,0.3576411377,20.491328,0.0761120865,4.360901,-0.0019973290,-0.114439,0.114439,-0.2574456121,-14.750547,0.0534231663,0.0534231663
0.014000,sine_60deg_1hz,0.0919975579,5.271072,6.5577558047,375.731731,0.0036472991,0.208975,0.4386696698,25.133921,0.0883502588,5.062097,-0.0026282681,-0.150589,0.150589,-0.3154695299,-18.075073,0.0884968527,0.0884968527
0.016000,sine_60deg_1hz,0.1050985420,6.021703,6.5504920642,375.315549,0.0045884675,0.262900,0.4705842033,26.962489,0.1005100745,5.758803,-0.0033039573,-0.189303,0.189303,-0.3378446130,-19.357070,0.0685865447,0.0685865447
0.018000,sine_60deg_1hz,0.1181829299,6.771383,6.5421939252,374.840101,0.0056785673,0.325358,0.5450498619,31.229057,0.1125043626,6.446025,-0.0040855351,-0.234084,0.234084,-0.3907889067,-22.390555,0.0973881083,0.0973881083
