time_s,step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.280000,14,0.87984264,1.38205361,79.185839,1.38205361,79.185839,2.99891567,171.825211,2.81401277,161.231055,-6.25170183,-358.196130,-10.72926998,-614.741887,-1.61686206,-92.639372,-1.43195915,-82.045216,-3.22670102,-184.876350,-3.59007025,-205.695873,-16.10166740,-922.557585,-19.36710358,-1109.653296,175.123650,154.304127,0.10058069,0
0.300000,15,0.86414504,1.35739589,77.773055,1.35739589,77.773055,2.81401277,161.231055,2.54595208,145.872309,-10.72926998,-614.741887,-14.63284874,-838.400475,-1.45661688,-83.458000,-1.18855619,-68.099254,-3.59007025,-205.695873,-4.03136110,-230.979977,-19.36710358,-1109.653296,-23.66735268,-1356.039421,154.304127,129.020023,-0.15503797,0
0.320000,16,1.05356991,1.65494382,94.821296,1.65494382,94.821296,2.54595208,145.872309,2.24405289,128.574759,-14.63284874,-838.400475,-14.96062469,-857.180654,-0.89100826,-51.051013,-0.58910906,-33.753463,-4.03136110,-230.979977,-4.54879141,-260.626550,-23.66735268,-1356.039421,-26.99687576,-1546.807041,129.020023,99.373450,0.27450663,0
0.340000,17,0.35571584,0.55875713,32.014425,0.55875713,32.014425,2.24405289,128.574759,1.99624205,114.376244,-14.96062469,-857.180654,-10.88222599,-623.505621,-1.68529576,-96.560334,-1.43748492,-82.361819,-4.54879141,-260.626550,-5.11184835,-292.887336,-26.99687576,-1546.807041,-28.80322838,-1650.303422,99.373450,67.112664,0.19899239,0
0.360000,18,-1.55913115,-2.44907761,-140.321811,-2.44907761,-140.321811,1.99624205,114.376244,1.72548318,98.862904,-10.88222599,-623.505621,-14.76674080,-846.071925,-4.44531965,-254.698055,-4.17456079,-239.184714,-5.11184835,-292.887336,-5.67444563,-325.121786,-28.80322838,-1650.303422,-27.45834351,-1573.247195,67.112664,34.878214,0.10788915,0
0.380000,19,-2.77380276,-4.35707951,-249.642267,-4.35707951,-249.642267,1.72548318,98.862904,1.37500036,78.781717,-14.76674080,-846.071925,-19.14359665,-1096.847293,-6.08256269,-348.505170,-5.73207986,-328.423984,-5.67444563,-325.121786,-6.17733908,-353.935458,-27.45834351,-1573.247195,-23.67323685,-1356.376559,34.878214,6.064542,0.01904349,0
0.400000,20,-2.21591377,-3.48074937,-199.432248,-3.48074937,-199.432248,1.37500036,78.781717,0.94077998,53.902723,-19.14359665,-1096.847293,-23.21013069,-1329.842531,-4.85574973,-278.213966,-4.42152935,-253.334971,-6.17733908,-353.935458,-6.61397028,-378.952583,-23.67323685,-1356.376559,-21.08237267,-1207.930976,6.064542,18.952583,0.05927015,0
0.420000,21,-1.12374651,-1.76517689,-101.137186,-1.76517689,-101.137186,0.94077998,53.902723,0.42930752,24.597509,-23.21013069,-1329.842531,-26.95324898,-1544.307411,-2.70595688,-155.039909,-2.19448441,-125.734695,-6.61397028,-378.952583,-7.04116058,-403.428784,-21.08237267,-1207.930976,-21.98491478,-1259.642830,18.952583,43.428784,0.13319288,0
0.440000,22,-0.44031146,-0.69163966,-39.628034,-0.69163966,-39.628034,0.42930752,24.597509,-0.12983015,-7.438720,-26.95324898,-1544.307411,-27.72551155,-1588.554797,-1.12094718,-64.225543,-0.56180951,-32.189314,-7.04116058,-403.428784,-7.52616024,-431.217218,-21.98491478,-1259.642830,-25.71098137,-1473.130720,43.428784,71.217218,0.20960830,0
0.460000,23,-0.03924535,-0.06164646,-3.532082,-0.06164646,-3.532082,-0.12983015,-7.438720,-0.59463078,-34.069834,-27.72551155,-1588.554797,-20.62369537,-1181.650703,0.06818369,3.906638,0.53298432,30.537752,-7.52616024,-431.217218,-8.04832458,-461.135031,-25.71098137,-1473.130720,-25.21230888,-1444.558891,71.217218,101.135031,0.27805451,0
