time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,-0.00000000,-0.000000,0.00000000,0.000000,-0.00000003,-0.000002,0.000000,0.000000,0.00000000,0
0.005000,0,1,1,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000003,-0.000002,-0.00000005,-0.000003,0.000000,0.000000,0.00000000,0
0.010000,0,2,2,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000005,-0.000003,-0.00000006,-0.000003,0.000000,0.000000,0.00000000,0
0.015000,0,3,3,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000006,-0.000003,-0.00000006,-0.000004,0.000000,0.000000,0.00000000,0
0.020000,1,0,4,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.00000000,0.000000,0.00686699,0.393449,0.00000000,0.000000,1.37339723,78.689865,2.37749839,136.220623,2.37063140,135.827174,-0.00000000,-0.000000,-0.00440765,-0.252540,-0.00000006,-0.000004,-0.88152957,-50.507924,0.000000,0.252540,0.04527468,0
0.025000,1,1,5,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.00686699,0.393449,0.02048291,1.173584,1.37339723,78.689865,2.72318435,156.026970,2.37063140,135.827174,2.35701548,135.047039,-0.00440765,-0.252540,-0.01311441,-0.751400,-0.88152957,-50.507924,-1.74135268,-99.772159,0.252540,0.751400,0.04527468,0
0.030000,1,2,6,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.02048291,1.173584,0.04073166,2.333752,2.72318435,156.026970,4.04975033,232.033602,2.35701548,135.047039,2.33676673,133.886871,-0.01311441,-0.751400,-0.02600269,-1.489845,-1.74135268,-99.772159,-2.57765651,-147.688839,0.751400,1.489845,0.04527468,0
0.035000,1,3,7,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.04073166,2.333752,0.06749902,3.867409,4.04975033,232.033602,5.35347128,306.731310,2.33676673,133.886871,2.30999937,132.353215,-0.02600269,-1.489845,-0.04294933,-2.460816,-2.57765651,-147.688839,-3.38932776,-194.194176,1.489845,2.460816,0.04527468,0
0.040000,2,0,8,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.06749902,3.867409,0.10067254,5.768112,5.35347128,306.731310,6.63470459,380.140571,3.39261951,194.382780,3.35944599,192.482077,-0.04294933,-2.460816,-0.06383061,-3.657225,-3.38932776,-194.194176,-4.17625570,-239.281826,2.460816,3.657225,0.08216555,0
0.045000,2,1,9,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.10067254,5.768112,0.14014150,8.029517,6.63470459,380.140571,7.89379168,452.280947,3.35944599,192.482077,3.31997703,190.220672,-0.06383061,-3.657225,-0.08852853,-5.072311,-4.17625570,-239.281826,-4.93958282,-283.017248,3.657225,5.072311,0.08216555,0
0.050000,2,2,10,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.14014150,8.029517,0.18579677,10.645371,7.89379168,452.280947,9.13105202,523.170743,3.31997703,190.220672,3.27432176,187.604818,-0.08852853,-5.072311,-0.11693802,-6.700055,-4.93958282,-283.017248,-5.68189764,-325.548754,5.072311,6.700055,0.08216555,0
0.055000,2,3,11,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.18579677,10.645371,0.23753068,13.609505,9.13105202,523.170743,10.34678364,592.827034,3.27432176,187.604818,3.22258785,184.640683,-0.11693802,-6.700055,-0.14897482,-8.535628,-5.68189764,-325.548754,-6.40736055,-367.114718,6.700055,8.535628,0.08216555,0
0.060000,3,0,12,2.57571912,4.04593039,231.814735,4.04593039,231.814735,0.23753068,13.609505,0.29523700,16.915834,10.34678364,592.827034,11.54126453,661.265748,3.80839971,218.205230,3.75069338,214.898901,-0.14897482,-8.535628,-0.18458359,-10.575861,-6.40736055,-367.114718,-7.12175274,-408.046375,8.535628,10.575861,0.11509390,0
0.065000,3,1,13,2.57571912,4.04593039,231.814735,4.04593039,231.814735,0.29523700,16.915834,0.35881075,20.558342,11.54126453,661.265748,12.71474934,728.501475,3.75069338,214.898901,3.68711963,211.256394,-0.18458359,-10.575861,-0.22374579,-12.819690,-7.12175274,-408.046375,-7.83244133,-448.765831,10.575861,12.819690,0.11509390,0
0.070000,3,2,14,2.57571912,4.04593039,231.814735,4.04593039,231.814735,0.35881075,20.558342,0.42814809,24.531079,12.71474934,728.501475,13.86746788,794.547382,3.68711963,211.256394,3.61778229,207.283657,-0.22374579,-12.819690,-0.26648697,-15.268579,-7.83244133,-448.765831,-8.54823780,-489.777948,12.819690,15.268579,0.11509390,0
0.075000,3,3,15,2.57571912,4.04593039,231.814735,4.04593039,231.814735,0.42814809,24.531079,0.50314623,28.828156,13.86746788,794.547382,14.99962425,859.415164,3.61778229,207.283657,3.54278415,202.986580,-0.26648697,-15.268579,-0.31288266,-17.926856,-8.54823780,-489.777948,-9.27913857,-531.655477,15.268579,17.926856,0.11509390,0
0.080000,4,0,16,2.72528744,4.28087139,245.275863,4.28087139,245.275863,0.50314623,28.828156,0.58370322,33.443731,14.99962425,859.415164,16.11139297,923.114820,3.77772516,216.447708,3.69716817,211.832132,-0.31288266,-17.926856,-0.36306226,-20.801935,-9.27913857,-531.655477,-10.03591728,-575.015704,17.926856,20.801935,0.15556782,0
0.085000,4,1,17,2.72528744,4.28087139,245.275863,4.28087139,245.275863,0.58370322,33.443731,0.66971779,38.372003,16.11139297,923.114820,17.20291328,985.654327,3.69716817,211.832132,3.61115360,206.903861,-0.36306226,-20.801935,-0.41720992,-23.904368,-10.03591728,-575.015704,-10.82953548,-620.486677,20.801935,23.904368,0.15556782,0
0.090000,4,2,18,2.72528744,4.28087139,245.275863,4.28087139,245.275863,0.66971779,38.372003,0.76108927,43.607203,17.20291328,985.654327,18.27429199,1047.039805,3.61115360,206.903861,3.51978213,201.668661,-0.41720992,-23.904368,-0.47556156,-27.247670,-10.82953548,-620.486677,-11.67032433,-668.660329,23.904368,27.247670,0.15556782,0
0.095000,4,3,19,2.72528744,4.28087139,245.275863,4.28087139,245.275863,0.76108927,43.607203,0.85771728,49.143580,18.27429199,1047.039805,19.32559776,1107.275188,3.51978213,201.668661,3.42315412,196.132283,-0.47556156,-27.247670,-0.53839600,-30.847819,-11.67032433,-668.660329,-12.56688786,-720.029636,27.247670,30.847819,0.15556782,0
0.100000,5,0,20,2.80318713,4.40323639,252.286861,4.40323639,252.286861,0.85771728,49.143580,0.95950156,54.975390,19.32559776,1107.275188,20.35686302,1166.362335,3.54551911,203.143281,3.44373482,197.311471,-0.53839600,-30.847819,-0.60601932,-34.722349,-12.56688786,-720.029636,-13.52466583,-774.906272,30.847819,34.722349,0.20685397,0
0.105000,5,1,21,2.80318713,4.40323639,252.286861,4.40323639,252.286861,0.95950156,54.975390,1.06634212,61.096903,20.35686302,1166.362335,21.36810493,1224.302229,3.44373482,197.311471,3.33689427,191.189959,-0.60601932,-34.722349,-0.67873991,-38.888932,-13.52466583,-774.906272,-14.54411602,-833.316465,34.722349,38.888932,0.20685397,0
0.110000,5,2,22,2.80318713,4.40323639,252.286861,4.40323639,252.286861,1.06634212,61.096903,1.17813885,67.502384,21.36810493,1224.302229,22.35934258,1281.095962,3.33689427,191.189959,3.22509754,184.784477,-0.67873991,-38.888932,-0.75683248,-43.363307,-14.54411602,-833.316465,-15.61851501,-894.874993,38.888932,43.363307,0.20685397,0
0.115000,5,3,23,2.80318713,4.40323639,252.286861,4.40323639,252.286861,1.17813885,67.502384,1.29479206,74.186120,22.35934258,1281.095962,23.33065224,1336.747906,3.22509754,184.784477,3.10844433,178.100741,-0.75683248,-43.363307,-0.84048986,-48.156522,-15.61851501,-894.874993,-16.73147774,-958.643059,43.363307,48.156522,0.20685397,0
0.120000,6,0,24,2.84233880,4.46473551,255.810501,4.46473551,255.810501,1.29479206,74.186120,1.41421008,81.028269,23.33065224,1336.747906,23.88360596,1368.429821,3.16994345,181.624381,3.05052543,174.782232,-0.84048986,-48.156522,-0.92890567,-53.222374,-16.73147774,-958.643059,-17.68316078,-1013.170481,48.156522,53.222374,0.26512912,0
0.125000,6,1,25,2.84233880,4.46473551,255.810501,4.46473551,255.810501,1.41421008,81.028269,1.53454733,87.923085,23.88360596,1368.429821,24.06745911,1378.963830,3.05052543,174.782232,2.93018818,167.887416,-0.92890567,-53.222374,-1.02113247,-58.506581,-17.68316078,-1013.170481,-18.44536591,-1056.841618,53.222374,58.506581,0.26512912,0
0.130000,6,2,26,2.84233880,4.46473551,255.810501,4.46473551,255.810501,1.53454733,87.923085,1.65424919,94.781497,24.06745911,1378.963830,23.94036674,1371.681974,2.93018818,167.887416,2.81048632,161.029004,-1.02113247,-58.506581,-1.11608577,-63.947004,-18.44536591,-1056.841618,-18.99066925,-1088.085198,58.506581,63.947004,0.26512912,0
0.135000,6,3,27,2.84233880,4.46473551,255.810501,4.46473551,255.810501,1.65424919,94.781497,1.77202344,101.529464,23.94036674,1371.681974,23.55484581,1349.593252,2.81048632,161.029004,2.69271207,154.281037,-1.11608577,-63.947004,-1.21257114,-69.475209,-18.99066925,-1088.085198,-19.29707718,-1105.641079,63.947004,69.475209,0.26512912,0
0.140000,7,0,28,2.76392245,4.34155941,248.753031,4.34155941,248.753031,1.77202344,101.529464,1.88681316,108.106431,23.55484581,1349.593252,22.95793343,1315.392692,2.56953597,147.223566,2.45474625,140.646600,-1.21257114,-69.475209,-1.30935121,-75.020298,-19.29707718,-1105.641079,-19.35601807,-1109.018143,69.475209,75.020298,0.31701493,0
0.145000,7,1,29,2.76392245,4.34155941,248.753031,4.34155941,248.753031,1.88681316,108.106431,1.99777007,114.463794,22.95793343,1315.392692,22.19137573,1271.472171,2.45474625,140.646600,2.34378934,134.289237,-1.30935121,-75.020298,-1.40523446,-80.514004,-19.35601807,-1109.018143,-19.17665291,-1098.741277,75.020298,80.514004,0.31701493,0
0.150000,7,2,30,2.76392245,4.34155941,248.753031,4.34155941,248.753031,1.99777007,114.463794,2.10422945,120.563467,22.19137573,1271.472171,21.29188156,1219.934951,2.34378934,134.289237,2.23732996,128.189564,-1.40523446,-80.514004,-1.49916387,-85.895762,-19.17665291,-1098.741277,-18.78588486,-1076.351917,80.514004,85.895762,0.31701493,0
0.155000,7,3,31,2.76392245,4.34155941,248.753031,4.34155941,248.753031,2.10422945,120.563467,2.20568681,126.376545,21.29188156,1219.934951,20.29145241,1162.614583,2.23732996,128.189564,2.13587260,122.376486,-1.49916387,-85.895762,-1.59028709,-91.116738,-18.78588486,-1076.351917,-18.22464180,-1044.195058,85.895762,91.116738,0.31701493,0
0.160000,8,0,32,2.49650574,3.92150211,224.685520,3.92150211,224.685520,2.20568681,126.376545,2.30177569,131.882033,20.29145241,1162.614583,19.21779060,1101.098293,1.71581531,98.308975,1.61972642,92.803488,-1.59028709,-91.116738,-1.67799652,-96.142118,-18.22464180,-1044.195058,-17.54189682,-1005.076652,91.116738,96.142118,0.35465100,0
0.165000,8,1,33,2.49650574,3.92150211,224.685520,3.92150211,224.685520,2.30177569,131.882033,2.39224958,137.065805,19.21779060,1101.098293,18.09475517,1036.753103,1.61972642,92.803488,1.52925253,87.619716,-1.67799652,-96.142118,-1.76193774,-100.951596,-17.54189682,-1005.076652,-16.78824043,-961.895322,96.142118,100.951596,0.35465100,0
0.170000,8,2,34,2.49650574,3.92150211,224.685520,3.92150211,224.685520,2.39224958,137.065805,2.47696352,141.919556,18.09475517,1036.753103,16.94280243,970.751072,1.52925253,87.619716,1.44453859,82.765965,-1.76193774,-100.951596,-1.84198987,-105.538246,-16.78824043,-961.895322,-16.01042557,-917.329813,100.951596,105.538246,0.35465100,0
