time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,-0.00000000,-0.000000,0.00000000,0.000000,-0.00000003,-0.000002,0.000000,0.000000,0.00000000,0
0.005000,0,1,1,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000003,-0.000002,-0.00000005,-0.000003,0.000000,0.000000,0.00000000,0
0.010000,0,2,2,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000005,-0.000003,-0.00000006,-0.000003,0.000000,0.000000,0.00000000,0
0.015000,0,3,3,0.87310636,1.37147236,78.579578,1.37147236,78.579578,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,0.00000000,0.000000,1.37147236,78.579578,1.37147236,78.579578,-0.00000000,-0.000000,-0.00000000,-0.000000,-0.00000006,-0.000003,-0.00000006,-0.000004,0.000000,0.000000,0.00000000,0
0.020000,1,0,4,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.00000000,0.000000,0.00686699,0.393449,0.00000000,0.000000,1.37339723,78.689865,2.37749839,136.220623,2.37063140,135.827174,-0.00000000,-0.000000,-0.00440765,-0.252540,-0.00000006,-0.000004,-0.88152957,-50.507924,0.000000,0.252540,0.04527468,0
0.025000,1,1,5,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.00686699,0.393449,0.02048291,1.173584,1.37339723,78.689865,2.72318435,156.026970,2.37063140,135.827174,2.35701548,135.047039,-0.00440765,-0.252540,-0.01311441,-0.751400,-0.88152957,-50.507924,-1.74135268,-99.772159,0.252540,0.751400,0.04527468,0
0.030000,1,2,6,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.02048291,1.173584,0.04073166,2.333752,2.72318435,156.026970,4.04975033,232.033602,2.35701548,135.047039,2.33676673,133.886871,-0.01311441,-0.751400,-0.02600269,-1.489845,-1.74135268,-99.772159,-2.57765651,-147.688839,0.751400,1.489845,0.04527468,0
0.035000,1,3,7,1.51356244,2.37749839,136.220623,2.37749839,136.220623,0.04073166,2.333752,0.06749902,3.867409,4.04975033,232.033602,5.35347128,306.731310,2.33676673,133.886871,2.30999937,132.353215,-0.02600269,-1.489845,-0.04294933,-2.460816,-2.57765651,-147.688839,-3.38932776,-194.194176,1.489845,2.460816,0.04527468,0
0.040000,2,0,8,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.06749902,3.867409,0.10067254,5.768112,5.35347128,306.731310,6.63470459,380.140571,3.39261951,194.382780,3.35944599,192.482077,-0.04294933,-2.460816,-0.06383061,-3.657225,-3.38932776,-194.194176,-4.17625570,-239.281826,2.460816,3.657225,0.08216555,0
0.045000,2,1,9,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.10067254,5.768112,0.14014150,8.029517,6.63470459,380.140571,7.89379168,452.280947,3.35944599,192.482077,3.31997703,190.220672,-0.06383061,-3.657225,-0.08852853,-5.072311,-4.17625570,-239.281826,-4.93958282,-283.017248,3.657225,5.072311,0.08216555,0
0.050000,2,2,10,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.14014150,8.029517,0.18579677,10.645371,7.89379168,452.280947,9.13105202,523.170743,3.31997703,190.220672,3.27432176,187.604818,-0.08852853,-5.072311,-0.11693802,-6.700055,-4.93958282,-283.017248,-5.68189764,-325.548754,5.072311,6.700055,0.08216555,0
0.055000,2,3,11,2.20277977,3.46011853,198.250189,3.46011853,198.250189,0.18579677,10.645371,0.23753068,13.609505,9.13105202,523.170743,10.34678364,592.827034,3.27432176,187.604818,3.22258785,184.640683,-0.11693802,-6.700055,-0.14897482,-8.535628,-5.68189764,-325.548754,-6.40736055,-367.114718,6.700055,8.535628,0.08216555,0
