time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,-0.25829908,-0.09016339,-5.165982,-0.09016339,-5.165982,0.00000000,0.000000,0.00000000,-0.72130710,0.00000000,-0.72130710,0.00000000,0.000000,-0.00112260,-0.064320,0.00000000,0.000000,-0.22452062,-12.864084,-0.09016339,-5.165982,-0.08904078,-5.101661,0.00000000,0.000000,0.00070728,0.040524,0.00000000,0.000000,0.14145689,8.104883,0.000000,0.040524,0.00189387,0
0.005000,0,1,1,-0.25829908,-0.09016339,-5.165982,-0.09016339,-5.165982,0.00000000,0.000000,-0.72130710,-0.64497006,-0.72130710,-0.64497006,-0.00112260,-0.064320,-0.00323150,-0.185151,-0.22452062,-12.864084,-0.42177925,-24.166171,-0.08904078,-5.101661,-0.08693189,-4.980830,0.00070728,0.040524,0.00202881,0.116242,0.14145689,8.104883,0.26430523,15.143574,0.040524,0.116242,0.00189387,0
0.010000,0,2,2,-0.25829908,-0.09016339,-5.165982,-0.09016339,-5.165982,0.00000000,0.000000,-0.64497006,-0.56892133,-0.64497006,-0.56892133,-0.00323150,-0.185151,-0.00619294,-0.354830,-0.42177925,-24.166171,-0.59228873,-33.935645,-0.08693189,-4.980830,-0.08397044,-4.811152,0.00202881,0.116242,0.00387185,0.221841,0.26430523,15.143574,0.36860803,21.119684,0.116242,0.221841,0.00189387,0
0.015000,0,3,3,-0.25829908,-0.09016339,-5.165982,-0.09016339,-5.165982,0.00000000,0.000000,-0.56892133,-0.49407691,-0.56892133,-0.49407691,-0.00619294,-0.354830,-0.00987714,-0.565918,-0.59228873,-33.935645,-0.73683923,-42.217778,-0.08397044,-4.811152,-0.08028625,-4.600063,0.00387185,0.221841,0.00614516,0.352092,0.36860803,21.119684,0.45466167,26.050195,0.221841,0.352092,0.00189387,0
0.020000,1,0,4,-0.26854733,-0.09374070,-5.370947,-0.09374070,-5.370947,-0.17886572,-10.248251,-0.42123821,-0.44985673,-0.42123821,-0.44985673,-0.00987714,-0.565918,-0.01420397,-0.813828,-0.73683923,-42.217778,-0.86536711,-49.581883,-0.08386356,-4.805028,-0.07953673,-4.557119,0.00614516,0.352092,0.00878869,0.503555,0.45466167,26.050195,0.52870643,30.292647,0.352092,0.503555,0.00444070,0
0.025000,1,1,5,-0.26854733,-0.09374070,-5.370947,-0.09374070,-5.370947,-0.17886572,-10.248251,-0.44985673,-0.37668368,-0.44985673,-0.37668368,-0.01420397,-0.813828,-0.01904952,-1.091457,-0.86536711,-49.581883,-0.96910828,-55.525815,-0.07953673,-4.557119,-0.07469119,-4.279490,0.00878869,0.503555,0.01171341,0.671129,0.52870643,30.292647,0.58494407,33.514826,0.503555,0.671129,0.00444070,0
0.030000,1,2,6,-0.26854733,-0.09374070,-5.370947,-0.09374070,-5.370947,-0.17886572,-10.248251,-0.37668368,-0.30679700,-0.37668368,-0.30679700,-0.01904952,-1.091457,-0.02429687,-1.392108,-0.96910828,-55.525815,-1.04947114,-60.130267,-0.07469119,-4.279490,-0.06944383,-3.978838,0.01171341,0.671129,0.01483444,0.849951,0.58494407,33.514826,0.62420648,35.764397,0.671129,0.849951,0.00444070,0
0.035000,1,3,7,-0.26854733,-0.09374070,-5.370947,-0.09374070,-5.370947,-0.17886572,-10.248251,-0.30679700,-0.24070930,-0.30679700,-0.24070930,-0.02429687,-1.392108,-0.02983688,-1.709527,-1.04947114,-60.130267,-1.10800207,-63.483842,-0.06944383,-3.978838,-0.06390382,-3.661419,0.01483444,0.849951,0.01807174,1.035434,0.62420648,35.764397,0.64745849,37.096639,0.849951,1.035434,0.00444070,0
0.040000,2,0,8,-0.37424019,-0.13063447,-7.484804,-0.13063447,-7.484804,-1.84468850,-105.692866,-0.17882991,-0.47398007,-0.17882991,-0.47398007,-0.02983688,-1.709527,-0.03602802,-2.064253,-1.10800207,-63.483842,-1.23822737,-70.945202,-0.10079759,-5.775276,-0.09460645,-5.420550,0.01807174,1.035434,0.02164647,1.240251,0.64745849,37.096639,0.71494627,40.963404,1.035434,1.240251,0.00744046,0
0.045000,2,1,9,-0.37424019,-0.13063447,-7.484804,-0.13063447,-7.484804,-1.84468850,-105.692866,-0.47398007,-0.38538337,-0.47398007,-0.38538337,-0.03602802,-2.064253,-0.04272220,-2.447802,-1.23822737,-70.945202,-1.33883595,-76.709650,-0.09460645,-5.420550,-0.08791227,-5.037002,0.02164647,1.240251,0.02545170,1.458275,0.71494627,40.963404,0.76104540,43.604689,1.240251,1.458275,0.00744046,0
