time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,0.08005904,0.02794588,1.601181,0.02794588,1.601181,0.00000000,0.000000,0.00000000,0.27945879,0.00000000,0.27945879,0.00000000,0.000000,0.00041549,0.023806,0.00000000,0.000000,0.08309817,4.761175,0.02794588,1.601181,0.02753039,1.577375,0.00000000,0.000000,-0.00025179,-0.014426,0.00000000,0.000000,-0.05035736,-2.885264,0.000000,0.014426,0.00034059,0
0.005000,0,1,1,0.08005904,0.02794588,1.601181,0.02794588,1.601181,0.00000000,0.000000,0.27945879,0.23790969,0.27945879,0.23790969,0.00041549,0.023806,0.00117850,0.067523,0.08309817,4.761175,0.15260230,8.743468,0.02753039,1.577375,0.02676738,1.533658,-0.00025179,-0.014426,-0.00070971,-0.040663,-0.05035736,-2.885264,-0.09158503,-5.247436,0.014426,0.040663,0.00034059,0
0.010000,0,2,2,0.08005904,0.02794588,1.601181,0.02794588,1.601181,0.00000000,0.000000,0.23790969,0.19900273,0.23790969,0.19900273,0.00117850,0.067523,0.00222600,0.127541,0.15260230,8.743468,0.20949998,12.003465,0.02676738,1.533658,0.02571988,1.473640,-0.00070971,-0.040663,-0.00133092,-0.076256,-0.09158503,-5.247436,-0.12424220,-7.118554,0.040663,0.076256,0.00034059,0
0.015000,0,3,3,0.08005904,0.02794588,1.601181,0.02794588,1.601181,0.00000000,0.000000,0.19900273,0.16292377,0.19900273,0.16292377,0.00222600,0.127541,0.00350010,0.200541,0.20949998,12.003465,0.25481951,14.600083,0.02571988,1.473640,0.02444578,1.400640,-0.00133092,-0.076256,-0.00207561,-0.118923,-0.12424220,-7.118554,-0.14893645,-8.533430,0.076256,0.118923,0.00034059,0
0.020000,1,0,4,0.13761371,0.04803625,2.752274,0.04803625,2.752274,1.00451848,57.554669,0.12978899,0.33069271,0.12978899,0.33069271,0.00350010,0.200541,0.00524689,0.300625,0.25481951,14.600083,0.34935766,20.016720,0.04453615,2.551733,0.04278936,2.451650,-0.00207561,-0.118923,-0.00309959,-0.177593,-0.14893645,-8.533430,-0.20479649,-11.733975,0.118923,0.177593,0.00127791,0
0.025000,1,1,5,0.13761371,0.04803625,2.752274,0.04803625,2.752274,1.00451848,57.554669,0.33069271,0.27068263,0.33069271,0.27068263,0.00524689,0.300625,0.00737008,0.422275,0.34935766,20.016720,0.42463934,24.330042,0.04278936,2.451650,0.04066616,2.330000,-0.00309959,-0.177593,-0.00433665,-0.248472,-0.20479649,-11.733975,-0.24741180,-14.175652,0.177593,0.248472,0.00127791,0
0.030000,1,2,6,0.13761371,0.04803625,2.752274,0.04803625,2.752274,1.00451848,57.554669,0.27068263,0.21557394,0.27068263,0.21557394,0.00737008,0.422275,0.00978213,0.560475,0.42463934,24.330042,0.48240831,27.639960,0.04066616,2.330000,0.03825412,2.191800,-0.00433665,-0.248472,-0.00572587,-0.328068,-0.24741180,-14.175652,-0.27784401,-15.919289,0.248472,0.328068,0.00127791,0
0.035000,1,3,7,0.13761371,0.04803625,2.752274,0.04803625,2.752274,1.00451848,57.554669,0.21557394,0.16545749,0.21557394,0.16545749,0.00978213,0.560475,0.01240417,0.710707,0.48240831,27.639960,0.52440953,30.046453,0.03825412,2.191800,0.03563207,2.041567,-0.00572587,-0.328068,-0.00721180,-0.413205,-0.27784401,-15.919289,-0.29718569,-17.027486,0.328068,0.413205,0.00127791,0
0.040000,2,0,8,0.20832360,0.07271865,4.166472,0.07271865,4.166472,1.23412013,70.709875,0.12033644,0.36716047,0.12033644,0.36716047,0.01240417,0.710707,0.01553302,0.889976,0.52440953,30.046453,0.62576908,35.853927,0.06031448,3.455765,0.05718563,3.276495,-0.00721180,-0.413205,-0.00898092,-0.514569,-0.29718569,-17.027486,-0.35382479,-20.272667,0.413205,0.514569,0.00272340,0
0.045000,2,1,9,0.20832360,0.07271865,4.166472,0.07271865,4.166472,1.23412013,70.709875,0.36716047,0.29026026,0.36716047,0.29026026,0.01553302,0.889976,0.01904675,1.091298,0.62576908,35.853927,0.70274568,40.264361,0.05718563,3.276495,0.05367190,3.075174,-0.00898092,-0.514569,-0.01094837,-0.627296,-0.35382479,-20.272667,-0.39349103,-22.545375,0.514569,0.627296,0.00272340,0
