time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,1.54237008,0.13962634,8.000000,0.13962634,8.000000,0.00000000,0.000000,0.00000000,1.39626336,0.00000000,1.39626336,0.00000000,0.000000,0.00204577,0.117214,0.00000000,0.000000,0.40915388,23.442790,0.13962634,8.000000,0.13758057,7.882786,0.00000000,0.000000,-0.00130196,-0.074597,0.00000000,0.000000,-0.26039273,-14.919404,0.000000,0.074597,0.00463450,0
0.005000,0,1,1,1.54237008,0.13962634,8.000000,0.13962634,8.000000,0.00000000,0.000000,1.39626336,1.17122877,1.39626336,1.17122877,0.00204577,0.117214,0.00577757,0.331030,0.40915388,23.442790,0.74635959,42.763254,0.13758057,7.882786,0.13384877,7.668970,-0.00130196,-0.074597,-0.00366452,-0.209962,-0.26039273,-14.919404,-0.47251153,-27.072916,0.074597,0.209962,0.00463450,0
0.010000,0,2,2,1.54237008,0.13962634,8.000000,0.13962634,8.000000,0.00000000,0.000000,1.17122877,0.96530795,1.17122877,0.96530795,0.00577757,0.331030,0.01086892,0.622743,0.74635959,42.763254,1.01827073,58.342615,0.13384877,7.668970,0.12875742,7.377257,-0.00366452,-0.209962,-0.00686581,-0.393382,-0.47251153,-27.072916,-0.64025855,-36.684113,0.209962,0.393382,0.00463450,0
0.015000,0,3,3,1.54237008,0.13962634,8.000000,0.13962634,8.000000,0.00000000,0.000000,0.96530795,0.77843881,0.96530795,0.77843881,0.01086892,0.622743,0.01702605,0.975521,1.01827073,58.342615,1.23142588,70.555506,0.12875742,7.377257,0.12260029,7.024479,-0.00686581,-0.393382,-0.01070371,-0.613277,-0.64025855,-36.684113,-0.76757866,-43.979018,0.393382,0.613277,0.00463450,0
0.020000,1,0,4,2.14349318,0.41887903,24.000001,0.41887903,24.000001,13.96263465,800.000036,0.61028993,3.40281677,0.61028993,3.40281677,0.01702605,0.975521,0.02807857,1.608784,1.23142588,70.555506,2.21050429,126.652567,0.40185298,23.024480,0.39080046,22.391217,-0.01070371,-0.613277,-0.01763126,-1.010197,-0.76757866,-43.979018,-1.38551080,-79.383921,0.613277,1.010197,0.03169819,0
0.025000,1,1,5,2.14349318,0.41887903,24.000001,0.41887903,24.000001,13.96263465,800.000036,3.40281677,2.80275249,3.40281677,2.80275249,0.02807857,1.608784,0.04307537,2.468037,2.21050429,126.652567,2.99936032,171.850688,0.39080046,22.391217,0.37580366,21.531964,-0.01763126,-1.010197,-0.02700327,-1.547173,-1.38551080,-79.383921,-1.87440121,-107.395279,1.010197,1.547173,0.03169819,0
0.030000,1,2,6,2.14349318,0.41887903,24.000001,0.41887903,24.000001,13.96263465,800.000036,2.80275249,2.25835657,2.80275249,2.25835657,0.04307537,2.468037,0.06116081,3.504256,2.99936032,171.850688,3.61708832,207.243895,0.37580366,21.531964,0.35771822,20.495744,-0.02700327,-1.547173,-0.03823376,-2.190633,-1.87440121,-107.395279,-2.24609995,-128.692047,1.547173,2.190633,0.03169819,0
0.035000,1,3,7,2.14349318,0.41887903,24.000001,0.41887903,24.000001,13.96263465,800.000036,2.25835657,1.76863813,2.25835657,1.76863813,0.06116081,3.504256,0.08157188,4.673724,3.61708832,207.243895,4.08221388,233.893626,0.35771822,20.495744,0.33730716,19.326276,-0.03823376,-2.190633,-0.05079602,-2.910397,-2.24609995,-128.692047,-2.51245093,-143.952835,2.190633,2.910397,0.03169819,0
0.040000,2,0,8,2.18722534,0.76348567,43.744507,0.76348567,43.744507,17.23033190,987.225297,1.33196449,4.77803087,1.33196449,4.77803087,0.08157188,4.673724,0.10868359,6.227111,4.08221388,233.893626,5.42234278,310.677356,0.68191379,39.070782,0.65480208,37.517396,-0.05079602,-2.910397,-0.06746952,-3.865719,-2.51245093,-143.952835,-3.33470178,-191.064338,2.910397,3.865719,0.06066506,0
0.045000,2,1,9,2.18722534,0.76348567,43.744507,0.76348567,43.744507,17.23033190,987.225297,4.77803087,3.83684945,4.77803087,3.83684945,0.10868359,6.227111,0.14101826,8.079751,5.42234278,310.677356,6.46693325,370.527982,0.65480208,37.517396,0.62246741,35.664756,-0.06746952,-3.865719,-0.08725944,-4.999598,-3.33470178,-191.064338,-3.95798469,-226.775818,3.865719,4.999598,0.06066506,0
0.050000,2,2,10,2.18722534,0.76348567,43.744507,0.76348567,43.744507,17.23033190,987.225297,3.83684945,2.99120760,3.83684945,2.99120760,0.14101826,8.079751,0.17725974,10.156235,6.46693325,370.527982,7.24829865,415.296921,0.62246741,35.664756,0.58622593,33.588271,-0.08725944,-4.999598,-0.10928257,-6.261430,-3.95798469,-226.775818,-4.40462589,-252.366474,4.999598,6.261430,0.06066506,0
0.055000,2,3,11,2.18722534,0.76348567,43.744507,0.76348567,43.744507,17.23033190,987.225297,2.99120760,2.23811007,2.99120760,2.23811007,0.17725974,10.156235,0.21624678,12.390028,7.24829865,415.296921,7.79741001,446.758685,0.58622593,33.588271,0.54723889,31.354479,-0.10928257,-6.261430,-0.13276342,-7.606783,-4.40462589,-252.366474,-4.69616938,-269.070685,6.261430,7.606783,0.06066506,0
0.060000,3,0,12,2.19765878,0.96846598,55.489013,0.96846598,55.489013,10.24901569,587.225343,1.57368374,3.62348700,1.57368374,3.62348700,0.21624678,12.390028,0.25996804,14.895072,7.79741001,446.758685,8.74425411,501.008856,0.75221920,43.098985,0.70849794,40.593942,-0.13276342,-7.606783,-0.15894468,-9.106859,-4.69616938,-269.070685,-5.23625278,-300.015185,7.606783,9.106859,0.07604976,0
0.065000,3,1,13,2.19765878,0.96846598,55.489013,0.96846598,55.489013,10.24901569,587.225343,3.62348700,2.71285248,3.62348700,2.71285248,0.25996804,14.895072,0.30701905,17.590896,8.74425411,501.008856,9.41020489,539.165024,0.70849794,40.593942,0.66144693,37.898117,-0.15894468,-9.106859,-0.18692446,-10.709983,-5.23625278,-300.015185,-5.59595585,-320.624652,9.106859,10.709983,0.07604976,0
0.070000,3,2,14,2.19765878,0.96846598,55.489013,0.96846598,55.489013,10.24901569,587.225343,2.71285248,1.90936697,2.71285248,1.90936697,0.30701905,17.590896,0.35617301,20.407210,9.41020489,539.165024,9.83079243,563.262915,0.66144693,37.898117,0.61229298,35.081803,-0.18692446,-10.709983,-0.21592385,-12.371525,-5.59595585,-320.624652,-5.79987860,-332.308565,10.709983,12.371525,0.07604976,0
0.075000,3,3,15,2.19765878,0.96846598,55.489013,0.96846598,55.489013,10.24901569,587.225343,1.90936697,1.20753372,1.90936697,1.20753372,0.35617301,20.407210,0.40637016,23.283295,9.83079243,563.262915,10.03943348,575.217167,0.61229298,35.081803,0.56209582,32.205718,-0.21592385,-12.371525,-0.24527350,-14.053136,-5.79987860,-332.308565,-5.86993217,-336.322340,12.371525,14.053136,0.07604976,0
0.080000,4,0,16,2.11557889,1.03381991,59.233518,1.03381991,59.233518,3.26769650,187.225218,0.60124195,1.25478125,0.60124195,1.25478125,0.40637016,23.283295,0.45766363,26.222194,10.03943348,575.217167,10.25869465,587.779907,0.62744975,35.950223,0.57615629,33.011324,-0.24527350,-14.053136,-0.27499783,-15.756215,-5.86993217,-336.322340,-5.94486380,-340.615605,14.053136,15.756215,0.08535192,0
0.085000,4,1,17,2.11557889,1.03381991,59.233518,1.03381991,59.233518,3.26769650,187.225218,1.25478125,0.63221502,1.25478125,0.63221502,0.45766363,26.222194,0.50912488,29.170707,10.25869465,587.779907,10.29224968,589.702468,0.57615629,33.011324,0.52469504,30.062811,-0.27499783,-15.756215,-0.30451646,-17.447508,-5.94486380,-340.615605,-5.90372753,-338.258671,15.756215,17.447508,0.08535192,0
0.090000,4,2,18,2.11557889,1.03381991,59.233518,1.03381991,59.233518,3.26769650,187.225218,0.63221502,0.10082579,0.63221502,0.10082579,0.50912488,29.170707,0.55997282,32.084079,10.29224968,589.702468,10.16959381,582.674805,0.52469504,30.062811,0.47384709,27.149438,-0.30451646,-17.447508,-0.33333132,-19.098478,-5.90372753,-338.258671,-5.76297283,-330.194021,17.447508,19.098478,0.08535192,0
