time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,2.06434464,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,0.00000000,1.04719758,0.00000000,1.04719758,0.00000000,0.000000,0.00155580,0.089141,0.00000000,0.000000,0.31116074,17.828197,0.10471976,6.000000,0.10316395,5.910859,0.00000000,0.000000,-0.00080538,-0.046145,0.00000000,0.000000,-0.16107580,-9.228964,0.000000,0.046145,0.00235020,0
0.005000,0,1,1,2.06434464,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,1.04719758,0.89161718,1.04719758,0.89161718,0.00155580,0.089141,0.00441304,0.252849,0.31116074,17.828197,0.57144767,32.741540,0.10316395,5.910859,0.10030672,5.747151,-0.00080538,-0.046145,-0.00226015,-0.129497,-0.16107580,-9.228964,-0.29095492,-16.670489,0.046145,0.129497,0.00235020,0
0.010000,0,2,2,2.06434464,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,0.89161718,0.74591571,0.89161718,0.74591571,0.00441304,0.252849,0.00833580,0.477606,0.57144767,32.741540,0.78455210,44.951524,0.10030672,5.747151,0.09638396,5.522394,-0.00226015,-0.129497,-0.00421812,-0.241680,-0.29095492,-16.670489,-0.39159313,-22.436634,0.129497,0.241680,0.00235020,0
0.015000,0,3,3,2.06434464,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,0.74591571,0.61079109,0.74591571,0.61079109,0.00833580,0.477606,0.01310739,0.750998,0.78455210,44.951524,0.95431823,54.678407,0.09638396,5.522394,0.09161236,5.249002,-0.00421812,-0.241680,-0.00654366,-0.374924,-0.39159313,-22.436634,-0.46510810,-26.648731,0.241680,0.374924,0.00235020,0
0.020000,1,0,4,2.42451167,0.31415927,18.000001,0.31415927,18.000001,10.47197580,600.000017,0.48668045,2.58107567,0.48668045,2.58107567,0.01310739,0.750998,0.02164342,1.240076,0.95431823,54.678407,1.70720434,97.815604,0.30105188,17.249002,0.29251586,16.759924,-0.00654366,-0.374924,-0.01096635,-0.628326,-0.46510810,-26.648731,-0.88453811,-50.680301,0.374924,0.628326,0.01955099,0
0.025000,1,1,5,2.42451167,0.31415927,18.000001,0.31415927,18.000001,10.47197580,600.000017,2.58107567,2.15691662,2.58107567,2.15691662,0.02164342,1.240076,0.03325743,1.905511,1.70720434,97.815604,2.32280374,133.086851,0.29251586,16.759924,0.28090184,16.094490,-0.01096635,-0.628326,-0.01706060,-0.977501,-0.88453811,-50.680301,-1.21885073,-69.835003,0.628326,0.977501,0.01955099,0
0.030000,1,2,6,2.42451167,0.31415927,18.000001,0.31415927,18.000001,10.47197580,600.000017,2.15691662,1.76375675,2.15691662,1.76375675,0.03325743,1.905511,0.04731927,2.711194,2.32280374,133.086851,2.81236720,161.136771,0.28090184,16.094490,0.26684001,15.288806,-0.01706060,-0.977501,-0.02443206,-1.399854,-1.21885073,-69.835003,-1.47429132,-84.470671,0.977501,1.399854,0.01955099,0
0.035000,1,3,7,2.42451167,0.31415927,18.000001,0.31415927,18.000001,10.47197580,600.000017,1.76375675,1.40283489,1.76375675,1.40283489,0.04731927,2.711194,0.06325600,3.624302,2.81236720,161.136771,3.18734765,182.621568,0.26684001,15.288806,0.25090327,14.375699,-0.02443206,-1.399854,-0.03271919,-1.874672,-1.47429132,-84.470671,-1.65742755,-94.963603,1.399854,1.874672,0.01955099,0
0.040000,2,0,8,2.58153248,0.62831855,36.000001,0.62831855,36.000001,15.70796371,900.000025,1.07472634,4.21631908,1.07472634,4.21631908,0.06325600,3.624302,0.08522096,4.882801,3.18734765,182.621568,4.39299107,251.699848,0.56506255,32.375699,0.54309759,31.117200,-0.03271919,-1.874672,-0.04437080,-2.542259,-1.65742755,-94.963603,-2.33032060,-133.517535,1.874672,2.542259,0.04894198,0
0.045000,2,1,9,2.58153248,0.62831855,36.000001,0.62831855,36.000001,15.70796371,900.000025,4.21631908,3.45412993,4.21631908,3.45412993,0.08522096,4.882801,0.11199146,6.416638,4.39299107,251.699848,5.35410023,306.767346,0.54309759,31.117200,0.51632709,29.583363,-0.04437080,-2.542259,-0.05863182,-3.359356,-2.33032060,-133.517535,-2.85220480,-163.419297,2.542259,3.359356,0.04894198,0
0.050000,2,2,10,2.58153248,0.62831855,36.000001,0.62831855,36.000001,15.70796371,900.000025,3.45412993,2.75392580,3.45412993,2.75392580,0.11199146,6.416638,0.14245507,8.162074,5.35410023,306.767346,6.09272432,349.087389,0.51632709,29.583363,0.48586348,27.837927,-0.05863182,-3.359356,-0.07481495,-4.286581,-2.85220480,-163.419297,-3.23662663,-185.445045,3.359356,4.286581,0.04894198,0
0.055000,2,3,11,2.58153248,0.62831855,36.000001,0.62831855,36.000001,15.70796371,900.000025,2.75392580,2.11690903,2.75392580,2.11690903,0.14245507,8.162074,0.17560981,10.061701,6.09272432,349.087389,6.63094807,379.925338,0.48586348,27.837927,0.45270874,25.938300,-0.07481495,-4.286581,-0.09230167,-5.288496,-3.23662663,-185.445045,-3.49734426,-200.383065,4.286581,5.288496,0.04894198,0
0.060000,3,0,12,3.25926280,1.04719758,60.000002,1.04719758,60.000002,20.94395161,1200.000033,1.54316092,5.73195124,1.54316092,5.73195124,0.17560981,10.061701,0.21678728,12.420996,6.63094807,379.925338,8.23549175,471.858920,0.87158777,49.938301,0.83041030,47.579006,-0.09230167,-5.288496,-0.11422037,-6.544345,-3.49734426,-200.383065,-4.38373995,-251.169798,5.288496,6.544345,0.07192037,0
0.065000,3,1,13,3.25926280,1.04719758,60.000002,1.04719758,60.000002,20.94395161,1200.000033,5.73195124,4.59813166,5.73195124,4.59813166,0.21678728,12.420996,0.26418221,15.136526,8.23549175,471.858920,9.47898960,543.106098,0.83041030,47.579006,0.78301537,44.863476,-0.11422037,-6.544345,-0.13951069,-7.993374,-4.38373995,-251.169798,-5.05806398,-289.805719,6.544345,7.993374,0.07192037,0
0.070000,3,2,14,3.25926280,1.04719758,60.000002,1.04719758,60.000002,20.94395161,1200.000033,4.59813166,3.56460857,4.59813166,3.56460857,0.26418221,15.136526,0.31616524,18.114934,9.47898960,543.106098,10.39660549,595.681616,0.78301537,44.863476,0.73103234,41.885068,-0.13951069,-7.993374,-0.16723534,-9.581879,-5.05806398,-289.805719,-5.54492998,-317.701086,7.993374,9.581879,0.07192037,0
0.075000,3,3,15,3.25926280,1.04719758,60.000002,1.04719758,60.000002,20.94395161,1200.000033,3.56460857,2.63185120,3.56460857,2.63185120,0.31616524,18.114934,0.37128097,21.272832,10.39660549,595.681616,11.02314377,631.579615,0.73103234,41.885068,0.67591661,38.727169,-0.16723534,-9.581879,-0.19657399,-11.262860,-5.54492998,-317.701086,-5.86772919,-336.196118,9.581879,11.262860,0.07192037,0
0.080000,4,0,16,3.88348126,1.36135685,78.000002,1.36135685,78.000002,15.70796371,900.000025,1.79875135,4.94034386,1.79875135,4.94034386,0.37128097,21.272832,0.43291086,24.803965,11.02314377,631.579615,12.32598019,706.226643,0.99007589,56.727170,0.92844599,53.196037,-0.19657399,-11.262860,-0.22951818,-13.150423,-5.86772919,-336.196118,-6.58883858,-377.512642,11.262860,13.150423,0.08830678,0
0.085000,4,1,17,3.88348126,1.36135685,78.000002,1.36135685,78.000002,15.70796371,900.000025,4.94034386,3.73776937,4.94034386,3.73776937,0.43291086,24.803965,0.49916932,28.600295,12.32598019,706.226643,13.25169182,759.266013,0.92844599,53.196037,0.86218753,49.399707,-0.22951818,-13.150423,-0.26509178,-15.188640,-6.58883858,-377.512642,-7.11471891,-407.643366,13.150423,15.188640,0.08830678,0
0.090000,4,2,18,3.88348126,1.36135685,78.000002,1.36135685,78.000002,15.70796371,900.000025,3.73776937,2.65861440,3.73776937,2.65861440,0.49916932,28.600295,0.56838238,32.565912,13.25169182,759.266013,13.84261227,793.123260,0.86218753,49.399707,0.79297447,45.434091,-0.26509178,-15.188640,-0.30245546,-17.329421,-7.11471891,-407.643366,-7.47273493,-428.156173,15.188640,17.329421,0.08830678,0
0.095000,4,3,19,3.88348126,1.36135685,78.000002,1.36135685,78.000002,15.70796371,900.000025,2.65861440,1.70056939,2.65861440,1.70056939,0.56838238,32.565912,0.63908136,36.616665,13.84261227,793.123260,14.13979149,810.150375,0.79297447,45.434091,0.72227550,41.383338,-0.30245546,-17.329421,-0.34088463,-19.531250,-7.47273493,-428.156173,-7.68583155,-440.365710,17.329421,19.531250,0.08830678,0
0.100000,5,0,20,4.05427790,1.57079637,90.000003,1.57079637,90.000003,10.47197580,600.000017,0.85984826,2.95424342,0.85984826,2.95424342,0.63908136,36.616665,0.71310318,40.857802,14.13979149,810.150375,14.80436897,848.227860,0.93171501,53.383338,0.85769320,49.142200,-0.34088463,-19.531250,-0.38146853,-21.856537,-7.68583155,-440.365710,-8.11678410,-465.057472,19.531250,21.856537,0.10394971,0
0.105000,5,1,21,4.05427790,1.57079637,90.000003,1.57079637,90.000003,10.47197580,600.000017,2.95424342,1.91496539,2.95424342,1.91496539,0.71310318,40.857802,0.78885305,45.197950,14.80436897,848.227860,15.14998055,868.029945,0.85769320,49.142200,0.78194332,44.802052,-0.38146853,-21.856537,-0.42347908,-24.263564,-8.11678410,-465.057472,-8.40211010,-481.405448,21.856537,24.263564,0.10394971,0
0.110000,5,2,22,4.05427790,1.57079637,90.000003,1.57079637,90.000003,10.47197580,600.000017,1.91496539,1.00194144,1.91496539,1.00194144,0.78885305,45.197950,0.86494815,49.557879,15.14998055,868.029945,15.21902466,871.985881,0.78194332,44.802052,0.70584822,40.442124,-0.42347908,-24.263564,-0.46627402,-26.715534,-8.40211010,-481.405448,-8.55898762,-490.393867,24.263564,26.715534,0.10394971,0
