time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,-0.07702899,-0.02688819,-1.540580,-0.02688819,-1.540580,0.00000000,0.000000,0.00000000,-1.34440947,0.00000000,-1.34440947,0.00000000,0.000000,-0.00149852,-0.085859,0.00000000,0.000000,-0.29970312,-17.171724,-0.02688819,-1.540580,-0.02538967,-1.454721,0.00000000,0.000000,0.00095279,0.054591,0.00000000,0.000000,0.19055802,10.918170,0.000000,0.054591,0.00068094,0
0.005000,0,1,1,-0.07702899,-0.02688819,-1.540580,-0.02688819,-1.540580,0.00000000,0.000000,-1.34440947,-0.37037435,-1.34440947,-0.37037435,-0.00149852,-0.085859,-0.00336312,-0.192693,-0.29970312,-17.171724,-0.37292174,-21.366842,-0.02538967,-1.454721,-0.02352507,-1.347887,0.00095279,0.054591,0.00211764,0.121332,0.19055802,10.918170,0.23296906,13.348144,0.054591,0.121332,0.00068094,0
0.010000,0,2,2,-0.07702899,-0.02688819,-1.540580,-0.02688819,-1.540580,0.00000000,0.000000,-0.37037435,-0.05748811,-0.37037435,-0.05748811,-0.00336312,-0.192693,-0.00523026,-0.299672,-0.37292174,-21.366842,-0.37342688,-21.395784,-0.02352507,-1.347887,-0.02165793,-1.240908,0.00211764,0.121332,0.00325471,0.186481,0.23296906,13.348144,0.22741547,13.029947,0.121332,0.186481,0.00068094,0
0.015000,0,3,3,-0.07702899,-0.02688819,-1.540580,-0.02688819,-1.540580,0.00000000,0.000000,-0.05748811,0.03738401,-0.05748811,0.03738401,-0.00523026,-0.299672,-0.00698986,-0.400490,-0.37342688,-21.395784,-0.35192132,-20.163606,-0.02165793,-1.240908,-0.01989833,-1.140090,0.00325471,0.186481,0.00428962,0.245777,0.22741547,13.029947,0.20698199,11.859194,0.186481,0.245777,0.00068094,0
0.020000,1,0,4,-0.23872574,-0.08333100,-4.774514,-0.08333100,-4.774514,-2.82214032,-161.696730,0.06084773,-2.76129270,0.06084773,-2.76129270,-0.00698986,-0.400490,-0.01188824,-0.681146,-0.35192132,-20.163606,-0.97967458,-56.131219,-0.07634113,-4.374025,-0.07144276,-4.093369,0.00428962,0.245777,0.00732180,0.419508,0.20698199,11.859194,0.60643560,34.746200,0.245777,0.419508,0.00390594,0
0.025000,1,1,5,-0.23872574,-0.08333100,-4.774514,-0.08333100,-4.774514,-2.82214032,-161.696730,-2.76129270,-0.63311422,-2.76129270,-0.63311422,-0.01188824,-0.681146,-0.01745137,-0.999890,-0.97967458,-56.131219,-1.11262596,-63.748771,-0.07144276,-4.093369,-0.06587963,-3.774625,0.00732180,0.419508,0.01073078,0.614828,0.60643560,34.746200,0.68179625,39.064048,0.419508,0.614828,0.00390594,0
0.030000,1,2,6,-0.23872574,-0.08333100,-4.774514,-0.08333100,-4.774514,-2.82214032,-161.696730,-0.63311422,0.04389654,-0.63311422,0.04389654,-0.01745137,-0.999890,-0.02289280,-1.311661,-1.11262596,-63.748771,-1.08828640,-62.354218,-0.06587963,-3.774625,-0.06043820,-3.462854,0.01073078,0.614828,0.01399578,0.801899,0.68179625,39.064048,0.65299910,37.414093,0.614828,0.801899,0.00390594,0
0.035000,1,3,7,-0.23872574,-0.08333100,-4.774514,-0.08333100,-4.774514,-2.82214032,-161.696730,0.04389654,0.24294935,0.04389654,0.24294935,-0.02289280,-1.311661,-0.02798185,-1.603242,-1.08828640,-62.354218,-1.01780927,-58.316176,-0.06043820,-3.462854,-0.05534915,-3.171273,0.01399578,0.801899,0.01695880,0.971668,0.65299910,37.414093,0.59260494,33.953762,0.801899,0.971668,0.00390594,0
0.040000,2,0,8,-0.54545832,-0.19040087,-10.909166,-0.19040087,-10.909166,-5.35349362,-306.732590,0.28597057,-5.06752300,0.28597057,-5.06752300,-0.02798185,-1.603242,-0.03887857,-2.227578,-1.01780927,-58.316176,-2.17934585,-124.867319,-0.16241902,-9.305925,-0.15152229,-8.681588,0.01695880,0.971668,0.02360083,1.352228,0.59260494,33.953762,1.32840514,76.112008,0.971668,1.352228,0.01358941,0
0.045000,2,1,9,-0.54545832,-0.19040087,-10.909166,-0.19040087,-10.909166,-5.35349362,-306.732590,-5.06752300,-1.03807735,-5.06752300,-1.03807735,-0.03887857,-2.227578,-0.05089898,-2.916297,-2.17934585,-124.867319,-2.40408182,-137.743742,-0.15152229,-8.681588,-0.13950188,-7.992869,0.02360083,1.352228,0.03085392,1.767800,1.32840514,76.112008,1.45061934,83.114366,1.352228,1.767800,0.01358941,0
