time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,0.90659350,0.13962634,8.000000,0.13962634,8.000000,0.00000000,0.000000,0.00000000,1.11701071,0.00000000,1.11701071,0.00000000,0.000000,0.00159001,0.091101,0.00000000,0.000000,0.31800160,18.220149,0.13962634,8.000000,0.13803633,7.908899,0.00000000,0.000000,-0.00100838,-0.057776,0.00000000,0.000000,-0.20167516,-11.555136,0.000000,0.057776,0.00285896,0
0.005000,0,1,1,0.90659350,0.13962634,8.000000,0.13962634,8.000000,0.00000000,0.000000,1.11701071,0.91348970,1.11701071,0.91348970,0.00159001,0.091101,0.00445765,0.255404,0.31800160,18.220149,0.57352763,32.860713,0.13803633,7.908899,0.13516869,7.744596,-0.00100838,-0.057776,-0.00281644,-0.161370,-0.20167516,-11.555136,-0.36161265,-20.718879,0.057776,0.161370,0.00285896,0
0.010000,0,2,2,0.90659350,0.13962634,8.000000,0.13962634,8.000000,0.00000000,0.000000,0.91348970,0.73723292,0.91348970,0.73723292,0.00445765,0.255404,0.00833379,0.477491,0.57352763,32.860713,0.77522856,44.417325,0.13516869,7.744596,0.13129255,7.522509,-0.00281644,-0.161370,-0.00524203,-0.300346,-0.36161265,-20.718879,-0.48511758,-27.795190,0.161370,0.300346,0.00285896,0
0.015000,0,3,3,0.90659350,0.13962634,8.000000,0.13962634,8.000000,0.00000000,0.000000,0.73723292,0.58520323,0.73723292,0.58520323,0.00833379,0.477491,0.01298762,0.744136,0.77522856,44.417325,0.93076724,53.329034,0.13129255,7.522509,0.12663871,7.255864,-0.00524203,-0.300346,-0.00812674,-0.465628,-0.48511758,-27.795190,-0.57694256,-33.056374,0.300346,0.465628,0.00285896,0
0.020000,1,0,4,1.02979660,0.35946682,20.595932,0.35946682,20.595932,10.99202409,629.796589,0.45464933,2.21337318,0.45464933,2.21337318,0.01298762,0.744136,0.02072575,1.187498,0.93076724,53.329034,1.54762506,88.672384,0.34647920,19.851796,0.33874107,19.408434,-0.00812674,-0.465628,-0.01294608,-0.741756,-0.57694256,-33.056374,-0.96386832,-55.225587,0.465628,0.741756,0.01767459,0
0.025000,1,1,5,1.02979660,0.35946682,20.595932,0.35946682,20.595932,10.99202409,629.796589,2.21337318,1.78135347,2.21337318,1.78135347,0.02072575,1.187498,0.03088918,1.769820,1.54762506,88.672384,2.03268600,116.464329,0.33874107,19.408434,0.32857764,18.826112,-0.01294608,-0.741756,-0.01925343,-1.103140,-0.96386832,-55.225587,-1.26146841,-72.276816,0.741756,1.103140,0.01767459,0
0.030000,1,2,6,1.02979660,0.35946682,20.595932,0.35946682,20.595932,10.99202409,629.796589,1.78135347,1.40900946,1.78135347,1.40900946,0.03088918,1.769820,0.04291325,2.458748,2.03268600,116.464329,2.40481353,137.785666,0.32857764,18.826112,0.31655357,18.137184,-0.01925343,-1.103140,-0.02666117,-1.527573,-1.26146841,-72.276816,-1.48154986,-84.886554,1.103140,1.527573,0.01767459,0
0.035000,1,3,7,1.02979660,0.35946682,20.595932,0.35946682,20.595932,10.99202409,629.796589,1.40900946,1.08954036,1.40900946,1.08954036,0.04291325,2.458748,0.05631658,3.226703,2.40481353,137.785666,2.68066716,153.590915,0.31655357,18.137184,0.30315024,17.369229,-0.02666117,-1.527573,-0.03483458,-1.995875,-1.48154986,-84.886554,-1.63468158,-93.660356,1.527573,1.995875,0.01767459,0
0.040000,2,0,8,1.55378115,0.54237193,31.075622,0.54237193,31.075622,9.14525539,523.984536,0.81680155,2.28004241,0.81680155,2.28004241,0.05631658,3.226703,0.07277410,4.169649,2.68066716,153.590915,3.29150295,188.589227,0.48605534,27.848920,0.46959783,26.905974,-0.03483458,-1.995875,-0.04482693,-2.568394,-1.63468158,-93.660356,-1.99847043,-114.503921,1.995875,2.568394,0.03526328,0
0.045000,2,1,9,1.55378115,0.54237193,31.075622,0.54237193,31.075622,9.14525539,523.984536,2.28004241,1.78188086,2.28004241,1.78188086,0.07277410,4.169649,0.09153299,5.244454,3.29150295,188.589227,3.75177932,214.961121,0.46959783,26.905974,0.45083894,25.831168,-0.04482693,-2.568394,-0.05612139,-3.215519,-1.99847043,-114.503921,-2.25889111,-129.424927,2.568394,3.215519,0.03526328,0
0.050000,2,2,10,1.55378115,0.54237193,31.075622,0.54237193,31.075622,9.14525539,523.984536,1.78188086,1.35564375,1.78188086,1.35564375,0.09153299,5.244454,0.11195356,6.414467,3.75177932,214.961121,4.08411455,234.002527,0.45083894,25.831168,0.43041836,24.661156,-0.05612139,-3.215519,-0.06827422,-3.911825,-2.25889111,-129.424927,-2.43056679,-139.261219,3.215519,3.911825,0.03526328,0
0.055000,2,3,11,1.55378115,0.54237193,31.075622,0.54237193,31.075622,9.14525539,523.984536,1.35564375,0.99287820,1.35564375,0.99287820,0.11195356,6.414467,0.13349557,7.648733,4.08411455,234.002527,4.30840063,246.853173,0.43041836,24.661156,0.40887636,23.426890,-0.06827422,-3.911825,-0.08090653,-4.635603,-2.43056679,-139.261219,-2.52646232,-144.755628,3.911825,4.635603,0.03526328,0
