time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,-0.07702899,-0.02688819,-1.540580,-0.02688819,-1.540580,0.00000000,0.000000,0.00000000,-0.80664569,0.00000000,-0.80664569,0.00000000,0.000000,-0.00087484,-0.050124,0.00000000,0.000000,-0.17496718,-10.024881,-0.02688819,-1.540580,-0.02601335,-1.490455,0.00000000,0.000000,0.00056843,0.032569,0.00000000,0.000000,0.11368587,6.513720,0.000000,0.032569,0.00037246,0
0.005000,0,1,1,-0.07702899,-0.02688819,-1.540580,-0.02688819,-1.540580,0.00000000,0.000000,-0.80664569,-0.25549906,-0.80664569,-0.25549906,-0.00087484,-0.050124,-0.00198369,-0.113657,-0.17496718,-10.024881,-0.22177139,-12.706565,-0.02601335,-1.490455,-0.02490450,-1.426923,0.00056843,0.032569,0.00128641,0.073706,0.11368587,6.513720,0.14359662,8.227480,0.032569,0.073706,0.00037246,0
0.010000,0,2,2,-0.07702899,-0.02688819,-1.540580,-0.02688819,-1.540580,0.00000000,0.000000,-0.25549906,-0.08182073,-0.25549906,-0.08182073,-0.00198369,-0.113657,-0.00312471,-0.179032,-0.22177139,-12.706565,-0.22820242,-13.075035,-0.02490450,-1.426923,-0.02376348,-1.361547,0.00128641,0.073706,0.00202048,0.115765,0.14359662,8.227480,0.14681369,8.411805,0.073706,0.115765,0.00037246,0
0.015000,0,3,3,-0.07702899,-0.02688819,-1.540580,-0.02688819,-1.540580,0.00000000,0.000000,-0.08182073,-0.02829731,-0.08182073,-0.02829731,-0.00312471,-0.179032,-0.00423573,-0.242689,-0.22820242,-13.075035,-0.22220464,-12.731388,-0.02376348,-1.361547,-0.02265246,-1.297890,0.00202048,0.115765,0.00272811,0.156309,0.14681369,8.411805,0.14152494,8.108782,0.115765,0.156309,0.00037246,0
0.020000,1,0,4,-0.19377486,-0.06764019,-3.875497,-0.06764019,-3.875497,-2.03759978,-116.745867,-0.01295990,-1.23551977,-0.01295990,-1.23551977,-0.00423573,-0.242689,-0.00671704,-0.384858,-0.22220464,-12.731388,-0.49626333,-28.433794,-0.06340446,-3.632808,-0.06092314,-3.490639,0.00272811,0.156309,0.00431712,0.247353,0.14152494,8.108782,0.31780228,18.208729,0.156309,0.247353,0.00159425,0
0.025000,1,1,5,-0.19377486,-0.06764019,-3.875497,-0.06764019,-3.875497,-2.03759978,-116.745867,-1.23551977,-0.33890426,-1.23551977,-0.33890426,-0.00671704,-0.384858,-0.00952625,-0.545814,-0.49626333,-28.433794,-0.56184161,-32.191153,-0.06092314,-3.490639,-0.05811393,-3.329683,0.00431712,0.247353,0.00610430,0.349751,0.31780228,18.208729,0.35743633,20.479593,0.247353,0.349751,0.00159425,0
0.030000,1,2,6,-0.19377486,-0.06764019,-3.875497,-0.06764019,-3.875497,-2.03759978,-116.745867,-0.33890426,-0.05789316,-0.33890426,-0.05789316,-0.00952625,-0.545814,-0.01233682,-0.706848,-0.56184161,-32.191153,-0.56211305,-32.206705,-0.05811393,-3.329683,-0.05530337,-3.168650,0.00610430,0.349751,0.00787203,0.451034,0.35743633,20.479593,0.35354558,20.256669,0.349751,0.451034,0.00159425,0
0.035000,1,3,7,-0.19377486,-0.06764019,-3.875497,-0.06764019,-3.875497,-2.03759978,-116.745867,-0.05789316,0.02723813,-0.05789316,0.02723813,-0.01233682,-0.706848,-0.01504998,-0.862300,-0.56211305,-32.206705,-0.54263252,-31.090553,-0.05530337,-3.168650,-0.05259021,-3.013197,0.00787203,0.451034,0.00955105,0.547235,0.35354558,20.256669,0.33580500,19.240209,0.451034,0.547235,0.00159425,0
0.040000,2,0,8,-0.35233891,-0.12298948,-7.046778,-0.12298948,-7.046778,-2.76746452,-158.564037,0.05019140,-1.61028731,0.05019140,-1.61028731,-0.01504998,-0.862300,-0.01956523,-1.121005,-0.54263252,-31.090553,-0.90305042,-51.740978,-0.10793950,-6.184478,-0.10342424,-5.925773,0.00955105,0.547235,0.01237080,0.708795,0.33580500,19.240209,0.56395024,32.311969,0.547235,0.708795,0.00395009,0
0.045000,2,1,9,-0.35233891,-0.12298948,-7.046778,-0.12298948,-7.046778,-2.76746452,-158.564037,-1.61028731,-0.39357603,-1.61028731,-0.39357603,-0.01956523,-1.121005,-0.02446813,-1.401920,-0.90305042,-51.740978,-0.98057872,-56.183022,-0.10342424,-5.925773,-0.09852135,-5.644858,0.01237080,0.708795,0.01540254,0.882501,0.56395024,32.311969,0.60634792,34.741177,0.708795,0.882501,0.00395009,0
