time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,-0.24090917,-0.08409316,-4.818183,-0.08409316,-4.818183,0.00000000,0.000000,0.00000000,-0.84093159,0.00000000,-0.84093159,0.00000000,0.000000,-0.00876937,-0.502448,0.00000000,0.000000,-1.75387490,-100.489629,-0.08409316,-4.818183,-0.07532379,-4.315735,3.14159274,180.000005,3.13556552,179.654671,0.00000000,0.000000,-1.20544958,-69.067173,179.999995,179.654671,1.13593912,0
0.005000,0,1,1,-0.24090917,-0.08409316,-4.818183,-0.08409316,-4.818183,0.00000000,0.000000,-0.84093159,0.03600584,-0.84093159,0.03600584,-0.00876937,-0.502448,-0.01716733,-0.983616,-1.75387490,-100.489629,-1.67959142,-96.233500,-0.07532379,-4.315735,-0.06692583,-3.834568,3.13556552,179.654671,3.12963724,179.315005,-1.20544958,-69.067173,-1.18565047,-67.932768,179.654671,179.315005,1.13593912,0
0.010000,0,2,2,-0.24090917,-0.08409316,-4.818183,-0.08409316,-4.818183,0.00000000,0.000000,0.03600584,0.08655785,0.03600584,0.08655785,-0.01716733,-0.983616,-0.02466733,-1.413334,-1.67959142,-96.233500,-1.49999940,-85.943635,-0.06692583,-3.834568,-0.05942583,-3.404849,3.12963724,179.315005,3.12414265,179.000188,-1.18565047,-67.932768,-1.09889603,-62.962104,179.315005,179.000188,1.13593912,0
0.015000,0,3,3,-0.24090917,-0.08409316,-4.818183,-0.08409316,-4.818183,0.00000000,0.000000,0.08655785,0.08074139,0.08655785,0.08074139,-0.02466733,-1.413334,-0.03133049,-1.795105,-1.49999940,-85.943635,-1.33263314,-76.354254,-0.05942583,-3.404849,-0.05276267,-3.023078,3.12414265,179.000188,3.11902356,178.706886,-1.09889603,-62.962104,-1.02383590,-58.661476,179.000188,178.706886,1.13593912,0
0.020000,1,0,4,0.22159301,-0.06346656,-3.636366,-0.06346656,-3.636366,1.03132986,59.090848,0.07205825,0.27832422,0.07205825,0.27832422,-0.03133049,-1.795105,-0.03509761,-2.010945,-1.33263314,-76.354254,-0.75342298,-43.167957,-0.03213607,-1.841261,-0.02836896,-1.625422,3.11902356,178.706886,3.11564469,178.513291,-1.02383590,-58.661476,-0.67575955,-38.718170,178.706886,178.513291,1.28265965,0
0.025000,1,1,5,0.22159301,-0.06346656,-3.636366,-0.06346656,-3.636366,1.03132986,59.090848,0.27832422,0.05535075,0.27832422,0.05535075,-0.03509761,-2.010945,-0.03829357,-2.194060,-0.75342298,-43.167957,-0.63919187,-36.622996,-0.02836896,-1.625422,-0.02517300,-1.442307,3.11564469,178.513291,3.11243534,178.329409,-0.67575955,-38.718170,-0.64186925,-36.776399,178.513291,178.329409,1.28265965,0
0.030000,1,2,6,0.22159301,-0.06346656,-3.636366,-0.06346656,-3.636366,1.03132986,59.090848,0.05535075,0.03590634,0.05535075,0.03590634,-0.03829357,-2.194060,-0.04112135,-2.356080,-0.63919187,-36.622996,-0.56555587,-32.403964,-0.02517300,-1.442307,-0.02234522,-1.280287,3.11243534,178.329409,3.10924935,178.146865,-0.64186925,-36.776399,-0.63719559,-36.508618,178.329409,178.146865,1.28265965,0
0.035000,1,3,7,0.22159301,-0.06346656,-3.636366,-0.06346656,-3.636366,1.03132986,59.090848,0.03590634,0.03104797,0.03590634,0.03104797,-0.04112135,-2.356080,-0.04363185,-2.499921,-0.56555587,-32.403964,-0.50210088,-28.768262,-0.02234522,-1.280287,-0.01983472,-1.136446,3.10924935,178.146865,3.10604286,177.963147,-0.63719559,-36.508618,-0.64130032,-36.743802,178.146865,177.963147,1.28265965,0
0.040000,2,0,8,0.00746224,0.00260481,0.149245,0.00260481,0.149245,3.30356881,189.280550,0.02759823,0.68831199,0.02759823,0.68831199,-0.04363185,-2.499921,-0.03897428,-2.233062,-0.50210088,-28.768262,0.93151391,53.371815,0.04623666,2.649165,0.04157909,2.382306,3.10604286,177.963147,3.10739684,178.040724,-0.64130032,-36.743802,0.27079949,15.515668,177.963147,178.040724,1.67606211,0
0.045000,2,1,9,0.00746224,0.00260481,0.149245,0.00260481,0.149245,3.30356881,189.280550,0.68831199,-0.00339033,0.68831199,-0.00339033,-0.03897428,-2.233062,-0.03435915,-1.968634,0.93151391,53.371815,0.92302489,52.885431,0.04157909,2.382306,0.03696397,2.117879,3.10739684,178.040724,3.10847688,178.102606,0.27079949,15.515668,0.21599883,12.375821,178.040724,178.102606,1.67606211,0
