time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,0.49697238,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,0.00000000,1.04719758,0.00000000,1.04719758,0.00000000,0.000000,0.01089181,0.624055,0.00000000,0.000000,2.17836142,124.810915,0.10471976,6.000000,0.09382795,5.375946,3.14159274,180.000005,3.14916039,180.433599,0.00000000,0.000000,1.51354671,86.719838,179.999995,179.566401,1.09808040,0
0.005000,0,1,1,0.49697238,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,1.04719758,-0.04198313,1.04719758,-0.04198313,0.01089181,0.624055,0.02134458,1.222954,2.17836142,124.810915,2.09055376,119.779907,0.09382795,5.375946,0.08337518,4.777046,3.14916039,180.433599,3.15629554,180.842413,1.51354671,86.719838,1.42701161,81.761743,179.566401,179.157587,1.09808040,0
0.010000,0,2,2,0.49697238,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,-0.04198313,-0.10699737,-0.04198313,-0.10699737,0.02134458,1.222954,0.03068230,1.757966,2.09055376,119.779907,1.86754537,107.002468,0.08337518,4.777046,0.07403746,4.242034,3.15629554,180.842413,3.16254210,181.200315,1.42701161,81.761743,1.24932849,71.581250,179.157587,178.799685,1.09808040,0
0.015000,0,3,3,0.49697238,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,-0.10699737,-0.10002089,-0.10699737,-0.10002089,0.03068230,1.757966,0.03897804,2.233277,1.86754537,107.002468,1.65914679,95.062108,0.07403746,4.242034,0.06574172,3.766723,3.16254210,181.200315,3.16797209,181.511430,1.24932849,71.581250,1.08602023,62.224376,178.799685,178.488570,1.09808040,0
0.020000,1,0,4,-0.26639324,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,-0.08919883,-0.08919883,-0.08919883,-0.08919883,0.03897804,2.233277,0.04634480,2.655361,1.65914679,95.062108,1.47335207,84.416856,0.06574172,3.766723,0.05837496,3.344639,3.16797209,181.511430,3.17268300,181.781346,1.08602023,62.224376,0.94219404,53.983742,178.488570,178.218654,1.28137732,0
0.025000,1,1,5,-0.26639324,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,-0.08919883,-0.07925880,-0.08919883,-0.07925880,0.04634480,2.655361,0.05288638,3.030166,1.47335207,84.416856,1.30831647,74.961012,0.05837496,3.344639,0.05183338,2.969834,3.17268300,181.781346,3.17676330,182.015129,0.94219404,53.983742,0.81606346,46.756992,178.218654,177.984871,1.28137732,0
0.030000,1,2,6,-0.26639324,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,-0.07925880,-0.07040858,-0.07925880,-0.07040858,0.05288638,3.030166,0.05869520,3.362987,1.30831647,74.961012,1.16176343,66.564141,0.05183338,2.969834,0.04602456,2.637013,3.17676330,182.015129,3.18029141,182.217276,0.81606346,46.756992,0.70560294,40.428071,177.984871,177.782724,1.28137732,0
0.035000,1,3,7,-0.26639324,0.10471976,6.000000,0.10471976,6.000000,0.00000000,0.000000,-0.07040858,-0.06254792,-0.07040858,-0.06254792,0.05869520,3.362987,0.06385332,3.658526,1.16176343,66.564141,1.03162551,59.107788,0.04602456,2.637013,0.04086643,2.341474,3.18029141,182.217276,3.18333626,182.391732,0.70560294,40.428071,0.60899121,34.892626,177.782724,177.608268,1.28137732,0
0.040000,2,0,8,0.16200243,0.05654952,3.240049,0.05654952,3.240049,-2.40851212,-137.997580,-0.05556715,-0.53726959,-0.05556715,-0.53726959,0.06385332,3.658526,0.06342151,3.633785,1.03162551,59.107788,-0.08636328,-4.948251,-0.00730381,-0.418477,-0.00687199,-0.393736,3.18333626,182.391732,3.18240952,182.338634,0.60899121,34.892626,-0.18536097,-10.620401,177.608268,177.661366,1.52508450,0
0.045000,2,1,9,0.16200243,0.05654952,3.240049,0.05654952,3.240049,-2.40851212,-137.997580,-0.53726959,-0.02985648,-0.53726959,-0.02985648,0.06342151,3.633785,0.06267972,3.591284,-0.08636328,-4.948251,-0.14835760,-8.500264,-0.00687199,-0.393736,-0.00613021,-0.351235,3.18240952,182.338634,3.18124986,182.272190,-0.18536097,-10.620401,-0.23195073,-13.289798,177.661366,177.727810,1.52508450,0
0.050000,2,2,10,0.16200243,0.05654952,3.240049,0.05654952,3.240049,-2.40851212,-137.997580,-0.02985648,0.00545885,-0.02985648,0.00545885,0.06267972,3.591284,0.06199345,3.551963,-0.14835760,-8.500264,-0.13725422,-7.864088,-0.00613021,-0.351235,-0.00544393,-0.311914,3.18124986,182.272190,3.18011260,182.207030,-0.23195073,-13.289798,-0.22744462,-13.031617,177.727810,177.792970,1.52508450,0
0.055000,2,3,11,0.16200243,0.05654952,3.240049,0.05654952,3.240049,-2.40851212,-137.997580,0.00545885,0.00732508,0.00545885,0.00732508,0.06199345,3.551963,0.06138203,3.516931,-0.13725422,-7.864088,-0.12228306,-7.006303,-0.00544393,-0.311914,-0.00483252,-0.276883,3.18011260,182.207030,3.17900801,182.143742,-0.22744462,-13.031617,-0.22089744,-12.656491,177.792970,177.856258,1.52508450,0
0.060000,3,0,12,0.70846856,0.11309903,6.480097,0.11309903,6.480097,2.82747578,162.002429,0.00670221,0.57219738,0.00670221,0.57219738,0.06138203,3.516931,0.06672294,3.822943,-0.12228306,-7.006303,1.06818187,61.202313,0.05171700,2.963166,0.04637609,2.657154,3.17900801,182.143742,3.18209553,182.320644,-0.22089744,-12.656491,0.61750585,35.380479,177.856258,177.679356,1.35982025,0
0.065000,3,1,13,0.70846856,0.11309903,6.480097,0.11309903,6.480097,2.82747578,162.002429,0.57219738,-0.01692088,0.57219738,-0.01692088,0.06672294,3.822943,0.07188616,4.118774,1.06818187,61.202313,1.03264272,59.166070,0.04637609,2.657154,0.04121287,2.361324,3.18209553,182.320644,3.18504071,182.489390,0.61750585,35.380479,0.58904523,33.749805,177.679356,177.510610,1.35982025,0
