time_s,policy_step,substep,physics_step,raw_action,processed_action_rad,processed_action_deg,joint_pos_target_rad,joint_pos_target_deg,joint_pos_target_vel_rad_s,joint_pos_target_vel_deg_s,actuator_force_pre_nm,actuator_force_post_nm,qfrc_actuator_pre_nm,qfrc_actuator_post_nm,cylinder_q_pre_rad,cylinder_q_pre_deg,cylinder_q_post_rad,cylinder_q_post_deg,cylinder_qd_pre_rad_s,cylinder_qd_pre_deg_s,cylinder_qd_post_rad_s,cylinder_qd_post_deg_s,tracking_error_pre_rad,tracking_error_pre_deg,tracking_error_post_rad,tracking_error_post_deg,pole_q_pre_rad,pole_q_pre_deg,pole_q_post_rad,pole_q_post_deg,pole_qd_pre_rad_s,pole_qd_pre_deg_s,pole_qd_post_rad_s,pole_qd_post_deg_s,pole_lift_pre_deg,pole_lift_post_deg,reward,done
0.000000,0,0,0,-0.52141619,-0.69813168,-39.999999,-0.69813168,-39.999999,0.00000000,0.000000,0.00000000,-5.58505344,0.00000000,-5.58505344,0.00000000,0.000000,-0.00911852,-0.522453,0.00000000,0.000000,-1.82370400,-104.490543,-0.69813168,-39.999999,-0.68901316,-39.477546,0.00000000,0.000000,0.00585802,0.335640,0.00000000,0.000000,1.17160332,67.127926,0.000000,0.335640,0.05333059,0
0.005000,0,1,1,-0.52141619,-0.69813168,-39.999999,-0.69813168,-39.999999,0.00000000,0.000000,-5.58505344,-5.23854971,-5.58505344,-5.23854971,-0.00911852,-0.522453,-0.02664075,-1.526402,-1.82370400,-104.490543,-3.50444579,-200.789953,-0.68901316,-39.477546,-0.67149093,-38.473596,0.00585802,0.335640,0.01707057,0.978071,1.17160332,67.127926,2.24250984,128.486349,0.335640,0.978071,0.05333059,0
0.010000,0,2,2,-0.52141619,-0.69813168,-39.999999,-0.69813168,-39.999999,0.00000000,0.000000,-5.23854971,-4.84626055,-5.23854971,-4.84626055,-0.02664075,-1.526402,-0.05178869,-2.967273,-3.50444579,-200.789953,-5.02958822,-288.174178,-0.67149093,-38.473596,-0.64634299,-37.032726,0.01707057,0.978071,0.03308368,1.895556,2.24250984,128.486349,3.20262432,183.496857,0.978071,1.895556,0.05333059,0
0.015000,0,3,3,-0.52141619,-0.69813168,-39.999999,-0.69813168,-39.999999,0.00000000,0.000000,-4.84626055,-4.41630554,-4.84626055,-4.41630554,-0.05178869,-2.967273,-0.08373541,-4.797685,-5.02958822,-288.174178,-6.38934278,-366.082375,-0.64634299,-37.032726,-0.61439627,-35.202313,0.03308368,1.895556,0.05330943,3.054405,3.20262432,183.496857,4.04514837,231.769929,1.895556,3.054405,0.05333059,0
0.020000,1,0,4,-1.04796934,-1.39626336,-79.999998,-1.39626336,-79.999998,-34.90658402,-1999.999942,-3.95676875,-9.54182243,-3.95676875,-9.54182243,-0.08373541,-4.797685,-0.13073732,-7.490697,-6.38934278,-366.082375,-9.40038300,-538.602271,-1.31252795,-75.202312,-1.26552604,-72.509301,0.05330943,3.054405,0.08300798,4.756007,4.04514837,231.769929,5.93971109,340.320377,3.054405,4.756007,0.09871666,0
0.025000,1,1,5,-1.04796934,-1.39626336,-79.999998,-1.39626336,-79.999998,-34.90658402,-1999.999942,-9.54182243,-8.71415138,-9.54182243,-8.71415138,-0.13073732,-7.490697,-0.19119549,-10.954695,-9.40038300,-538.602271,-12.09163570,-692.799693,-1.26552604,-72.509301,-1.20506787,-69.045303,0.08300798,4.756007,0.12112102,6.939723,5.93971109,340.320377,7.62260962,436.743360,4.756007,6.939723,0.09871666,0
0.030000,1,2,6,-1.04796934,-1.39626336,-79.999998,-1.39626336,-79.999998,-34.90658402,-1999.999942,-8.71415138,-7.82679749,-8.71415138,-7.82679749,-0.19119549,-10.954695,-0.26343852,-15.093916,-12.09163570,-692.799693,-14.44860935,-827.844336,-1.20506787,-69.045303,-1.13282484,-64.906082,0.12112102,6.939723,0.16663009,9.547201,7.62260962,436.743360,9.10181332,521.495489,6.939723,9.547201,0.09871666,0
0.035000,1,3,7,-1.04796934,-1.39626336,-79.999998,-1.39626336,-79.999998,-34.90658402,-1999.999942,-7.82679749,-6.89530706,-7.82679749,-6.89530706,-0.26343852,-15.093916,-0.34574899,-19.809958,-14.44860935,-827.844336,-16.46209526,-943.208580,-1.13282484,-64.906082,-1.05051437,-60.190040,0.16663009,9.547201,0.21860664,12.525238,9.10181332,521.495489,10.39530945,595.607358,9.547201,12.525238,0.09871666,0
0.040000,2,0,8,-0.61358356,-0.96381485,-55.222523,-0.96381485,-55.222523,21.62242532,1238.873714,-5.93480062,-2.47521257,-5.93480062,-2.47521257,-0.34574899,-19.809958,-0.43074304,-24.679758,-16.46209526,-943.208580,-16.99880791,-973.959950,-0.61806586,-35.412565,-0.53307182,-30.542765,0.21860664,12.525238,0.27269125,15.624058,10.39530945,595.607358,10.81692505,619.764153,12.525238,15.624058,0.13855934,0
0.045000,2,1,9,-0.61358356,-0.96381485,-55.222523,-0.96381485,-55.222523,21.62242532,1238.873714,-2.47521257,-1.71475315,-2.47521257,-1.71475315,-0.43074304,-24.679758,-0.51713187,-29.629473,-16.99880791,-973.959950,-17.27776146,-989.942811,-0.53307182,-30.542765,-0.44668299,-25.593050,0.27269125,15.624058,0.32829812,18.810097,10.81692505,619.764153,11.12137508,637.207855,15.624058,18.810097,0.13855934,0
0.050000,2,2,10,-0.61358356,-0.96381485,-55.222523,-0.96381485,-55.222523,21.62242532,1238.873714,-1.71475315,-0.98179960,-1.71475315,-0.98179960,-0.51713187,-29.629473,-0.60369313,-34.589068,-17.27776146,-989.942811,-17.31224823,-991.918757,-0.44668299,-25.593050,-0.36012173,-20.633455,0.32829812,18.810097,0.38487250,22.051570,11.12137508,637.207855,11.31487370,648.294508,18.810097,22.051570,0.13855934,0
0.055000,2,3,11,-0.61358356,-0.96381485,-55.222523,-0.96381485,-55.222523,21.62242532,1238.873714,-0.98179960,-0.28413630,-0.98179960,-0.28413630,-0.60369313,-34.589068,-0.68928289,-39.493001,-17.31224823,-991.918757,-17.11795044,-980.786314,-0.36012173,-20.633455,-0.27453196,-15.729523,0.38487250,22.051570,0.44187003,25.317288,11.31487370,648.294508,11.39950848,653.143724,22.051570,25.317288,0.13855934,0
0.060000,3,0,12,-0.44457990,-0.69834447,-40.012191,-0.69834447,-40.012191,13.27351928,760.516634,0.37143707,2.49520016,0.37143707,2.49520016,-0.68928289,-39.493001,-0.76938438,-44.082478,-17.11795044,-980.786314,-16.02029228,-917.895134,-0.00906157,-0.519190,0.07103992,4.070287,0.44187003,25.317288,0.49672574,28.460288,11.39950848,653.143724,10.97114277,628.600177,25.317288,28.460288,0.17243378,0
0.065000,3,1,13,-0.44457990,-0.69834447,-40.012191,-0.69834447,-40.012191,13.27351928,760.516634,2.49520016,2.97136307,2.49520016,2.97136307,-0.76938438,-44.082478,-0.84331274,-48.318261,-16.02029228,-917.895134,-14.78566551,-847.156231,0.07103992,4.070287,0.14496827,8.306070,0.49672574,28.460288,0.54887903,31.448452,10.97114277,628.600177,10.43066120,597.632864,28.460288,31.448452,0.17243378,0
