time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s
0.0000,0.007,-5.528,-2.309,0.0125,1.410,0.000
0.0201,7.490,-5.374,3.232,0.2532,2.810,63.333
0.0401,14.499,-4.671,32.782,0.1453,3.520,32.286
0.0602,20.590,-3.220,57.716,0.1619,3.520,0.000
0.0803,25.380,-1.352,74.338,0.0872,3.160,-16.391
0.1003,28.568,0.802,79.878,0.2698,2.460,-31.815
0.1204,29.949,3.066,88.189,0.0623,1.050,-63.986
0.1404,29.438,5.418,89.113,0.0706,359.650,-63.653
0.1605,27.066,7.682,83.572,0.2200,358.590,-48.345
0.1806,22.982,9.594,64.180,0.0208,357.890,-63.555
0.2006,17.446,10.913,41.093,0.2449,357.540,-15.915
0.2207,10.807,11.506,14.313,0.1204,357.540,0.000
0.2407,3.487,11.594,-4.156,-0.0208,358.240,31.969
0.2608,-4.053,11.176,-30.012,-0.0457,359.300,48.193
0.2808,-11.338,10.034,-47.558,-0.0623,1.050,79.555
0.3009,-17.908,8.407,-62.333,-0.1785,2.110,95.890
0.3210,-23.344,6.363,-88.189,-0.2366,4.220,95.833
0.3410,-27.305,3.989,-90.036,-0.0872,6.330,95.917
0.3611,-29.542,1.352,-97.424,-0.0706,8.440,95.902
0.3811,-29.911,-1.396,-98.347,-0.1868,9.840,63.578
0.4012,-28.391,-4.033,-98.347,-0.2117,10.550,64.552
0.4212,-25.076,-6.429,-94.653,-0.0457,10.900,15.891
0.4413,-20.178,-8.385,-62.333,-0.0789,10.550,-15.906
0.4613,-14.005,-9.638,-40.170,-0.0042,8.790,-80.077
0.4814,-6.947,-10.209,-8.773,-0.2283,5.980,-127.802
0.5015,0.550,-10.100,7.849,0.0042,2.460,-159.907
0.5215,8.015,-9.506,27.242,0.2698,0.700,-159.694
0.5416,14.972,-8.385,46.634,0.2200,356.480,-192.301
0.5616,20.982,-6.583,78.031,0.1619,352.270,-191.491
0.5817,25.667,-4.451,91.883,0.0789,347.340,-224.216
0.6018,28.729,-2.033,91.883,0.2366,343.480,-175.408
0.6218,29.976,0.582,98.347,0.2117,342.420,-96.305
0.6419,29.329,3.198,90.036,0.1038,339.610,-127.754
0.6619,26.829,5.660,84.496,-0.0208,338.550,-48.207
0.6820,22.634,7.792,68.797,0.1702,338.200,-15.904
0.7020,17.009,9.264,50.328,0.0291,340.310,95.931
0.7221,10.310,10.143,19.854,0.1121,343.480,144.076
0.7421,2.959,10.209,-1.385,0.1121,345.590,191.598
0.7622,-4.579,9.814,-20.778,-0.2117,351.210,255.473
0.7826,-11.934,8.913,-35.553,-0.2449,357.190,270.997
0.8026,-18.421,7.396,-69.720,-0.0789,4.570,335.340
0.8227,-23.745,5.352,-77.108,-0.2366,10.900,287.497
0.8427,-27.567,3.044,-94.653,-0.2532,17.580,304.252
0.8628,-29.647,0.473,-97.424,-0.1038,20.390,254.572
0.8828,-29.854,-2.187,-96.500,-0.0457,25.310,223.805
0.9029,-28.175,-4.781,-96.500,-0.1536,29.180,175.422
0.9230,-24.715,-7.088,-83.572,-0.2034,30.940,80.025
0.9430,-19.693,-8.913,-54.022,0.0042,30.940,0.000
0.9631,-13.424,-10.100,-35.553,-0.1287,28.480,-111.573
0.9831,-6.308,-10.517,-6.926,-0.2366,26.370,-192.305
1.0032,1.206,-10.319,10.620,0.0789,20.740,-256.110
1.0233,8.643,-9.594,34.629,0.2449,13.710,-319.316
1.0433,15.534,-8.385,55.869,0.1785,5.270,-383.770
1.0634,21.443,-6.561,75.261,0.1785,356.130,-414.308
1.0834,25.998,-4.363,86.342,0.0706,351.560,-419.508
1.1035,28.910,-1.923,89.113,0.2034,342.770,-399.588
1.1235,29.995,0.736,95.577,0.2034,335.040,-351.348
1.1436,29.185,3.330,92.807,0.1287,328.360,-303.611
1.1636,26.538,5.792,86.342,-0.0623,323.790,-207.633
1.1837,22.209,7.858,65.103,0.1619,320.980,-127.716
1.2037,16.478,9.286,42.940,0.0374,320.980,0.000
1.2238,9.706,10.143,19.854,0.1121,321.680,31.811
1.2438,2.320,10.165,-6.926,0.0789,325.550,176.023
1.2639,-5.212,9.748,-17.084,-0.2449,331.520,271.335
1.2840,-12.416,8.803,-40.170,-0.2615,339.610,367.603
1.3040,-18.834,7.242,-66.950,-0.0955,349.100,431.562
1.3241,-24.063,5.176,-78.955,-0.1951,354.380,479.721
1.3441,-27.771,2.824,-98.347,-0.2366,4.920,479.202
1.3642,-29.724,0.253,-98.347,-0.0623,15.820,495.334
1.3842,-29.798,-2.429,-100.194,-0.0291,25.310,430.560
1.4043,-27.988,-5.000,-93.730,-0.1121,33.400,367.313
1.4244,-24.410,-7.286,-83.572,-0.1453,36.910,318.967
1.4444,-19.289,-9.044,-56.792,-0.0457,41.840,224.078
1.4645,-12.949,-10.187,-33.706,-0.1702,43.950,96.024
1.4845,-5.788,-10.539,0.462,-0.2283,43.950,0.000
1.5046,1.737,-10.275,11.543,0.0540,40.430,-159.850
1.5247,9.151,-9.528,26.318,0.2200,34.450,-272.122
1.5447,15.988,-8.253,54.945,0.1536,30.590,-350.564
1.5648,21.814,-6.385,77.108,0.1951,21.800,-399.599
1.5849,26.263,-4.165,94.653,0.0291,10.900,-495.511
1.6049,29.049,-1.703,99.271,0.1702,359.650,-510.929
1.6250,30.000,0.956,101.118,0.2615,348.050,-528.782
1.6450,29.055,3.550,99.271,0.1868,337.500,-478.314
1.6651,26.272,5.967,83.572,-0.0208,332.580,-448.664
1.6852,21.827,8.011,68.797,0.1453,324.490,-367.583
1.7052,16.005,9.396,44.787,0.0042,318.520,-271.694
1.7253,9.171,10.165,18.007,0.1453,315.000,-160.053
1.7453,1.758,10.165,-5.079,0.0457,314.650,-15.902
1.7654,-5.766,9.704,-20.778,-0.2283,315.000,31.674
1.7855,-12.929,8.737,-45.711,-0.2615,318.870,176.254
1.8055,-19.274,7.110,-74.338,-0.0706,324.840,270.265
1.8256,-24.400,5.000,-74.338,-0.1785,333.630,399.559
1.8456,-27.982,2.627,-96.500,-0.2781,343.480,449.519
1.8657,-29.796,0.033,-106.658,-0.1702,354.730,510.393
1.8858,-29.724,-2.605,-93.730,0.0125,0.350,512.635
1.9059,-27.773,-5.176,-88.189,-0.0789,11.950,527.149
1.9259,-24.067,-7.440,-75.261,-0.2366,22.150,463.971
1.9460,-18.840,-9.132,-54.022,-0.0291,30.590,383.639
1.9660,-12.423,-10.253,-32.782,-0.1453,37.270,303.557
1.9861,-5.221,-10.517,-1.385,-0.2449,41.130,175.669
2.0061,2.310,-10.231,12.467,0.1038,41.840,64.374
2.0262,9.696,-9.396,42.017,0.2449,42.190,15.890
2.0462,16.469,-8.121,48.481,0.1287,39.380,-127.849
2.0663,22.202,-6.209,78.031,0.2449,33.750,-256.065
2.0864,26.531,-3.989,87.266,-0.0042,26.370,-335.488
2.1064,29.185,-1.484,95.577,0.1370,22.150,-382.521
2.1265,29.995,1.154,90.960,0.2698,12.300,-448.115
2.1465,28.910,3.769,97.424,0.2117,2.110,-463.133
2.1666,25.998,6.165,84.496,0.0291,352.270,-448.417
2.1866,21.445,8.165,61.409,0.1204,342.770,-431.563
2.2067,15.537,9.484,46.634,-0.0291,335.040,-351.732
2.2267,8.647,10.209,15.237,0.1951,331.880,-287.422
2.2468,1.211,10.143,-12.467,0.0457,326.950,-224.087
2.2668,-6.302,9.660,-21.701,-0.2532,324.490,-111.346
2.2869,-13.416,8.671,-51.251,-0.2781,323.790,-31.913
2.3070,-19.684,7.022,-76.184,-0.1370,326.250,111.937
2.3270,-24.707,4.890,-83.572,-0.1536,330.470,191.784
2.3471,-28.170,2.495,-96.500,-0.2615,333.280,255.517
2.3671,-29.853,-0.121,-95.577,-0.1951,340.310,319.265
2.3872,-29.649,-2.780,-97.424,-0.0374,348.400,366.356
2.4072,-27.572,-5.330,-88.189,-0.0540,357.190,401.055
2.4273,-23.751,-7.572,-77.108,-0.2200,5.620,381.920
2.4474,-18.429,-9.220,-53.098,-0.0208,9.490,349.316
2.4674,-11.942,-10.297,-27.242,-0.1951,16.170,304.604
2.4875,-4.702,-10.473,3.232,-0.2117,21.800,256.174
2.5075,2.835,-10.165,10.620,0.0540,25.310,159.514
2.5276,10.193,-9.330,31.859,0.2449,27.070,80.009
2.5476,16.895,-8.011,53.098,0.1370,26.720,-15.919
2.5677,22.543,-6.077,75.261,0.2698,26.020,-63.481
2.5877,26.767,-3.835,85.419,0.0291,22.850,-144.069
2.6078,29.300,-1.308,97.424,0.0706,18.280,-207.753
2.6278,29.981,1.330,97.424,0.2117,12.300,-271.930
2.6479,28.768,3.923,96.500,0.2449,5.980,-287.353
2.6679,25.738,6.297,87.266,0.0291,2.810,-288.100
2.6880,21.082,8.275,66.950,0.0706,356.480,-288.296
2.7080,15.094,9.572,46.634,-0.0125,350.860,-255.670
