time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s
0.0000,0.007,-2.297,3.232,0.0125,358.950,0.000
0.0201,7.551,-2.275,-5.079,0.1121,0.350,63.581
0.0401,14.972,-1.857,20.778,0.2449,1.050,63.803
0.0602,22.162,-0.714,49.404,0.1121,1.760,32.256
0.0803,28.996,1.066,69.720,0.2200,2.110,15.924
0.1003,35.367,3.154,84.496,0.1453,1.760,-15.910
0.1204,41.184,5.704,97.424,0.0706,0.700,-47.227
0.1405,46.342,8.583,111.276,0.1038,0.350,-33.078
0.1605,50.766,11.748,126.974,0.1453,358.950,-63.789
0.1806,54.383,15.089,128.821,0.1038,357.540,-64.220
0.2006,57.138,18.562,129.745,0.0457,356.130,-63.946
0.2207,58.986,22.012,125.127,0.0457,355.080,-47.611
0.2408,59.899,25.397,118.663,0.0457,354.020,-48.304
0.2608,59.861,28.584,112.199,0.0291,354.020,0.000
0.2809,58.874,31.529,104.811,0.1204,353.670,-15.968
0.3009,56.952,34.211,97.424,0.1785,354.020,15.906
0.3210,54.127,36.475,79.878,0.0955,355.080,48.164
0.3411,50.444,38.233,56.792,0.0291,356.840,80.030
0.3611,45.961,39.398,39.247,0.0208,358.950,95.933
0.3812,40.749,40.101,15.237,0.1785,0.350,126.871
0.4012,34.891,40.167,-4.156,0.1121,3.160,127.468
0.4213,28.480,39.860,-15.237,-0.1038,5.980,128.078
0.4413,21.618,39.156,-32.782,-0.2864,8.790,127.920
0.4614,14.412,37.969,-45.711,-0.2117,11.250,111.565
0.4815,6.976,36.145,-77.108,-0.2200,12.300,95.710
0.5015,-0.569,33.947,-87.266,-0.0789,14.410,95.848
0.5216,-8.106,31.222,-99.271,-0.1287,16.170,79.984
0.5416,-15.515,28.057,-119.587,-0.1951,17.230,48.160
0.5617,-22.677,24.430,-139.902,-0.0623,17.580,15.925
0.5817,-29.480,20.452,-151.907,-0.0706,17.230,-15.907
0.6018,-35.817,16.166,-166.682,-0.2532,16.880,-31.797
0.6219,-41.583,11.638,-174.993,-0.1785,15.470,-64.017
0.6419,-46.689,6.934,-177.764,-0.0955,13.710,-80.081
0.6620,-51.055,2.121,-182.381,-0.2366,11.250,-111.655
0.6820,-54.611,-2.714,-176.840,-0.0125,8.090,-144.005
0.7021,-57.302,-7.484,-170.376,-0.2449,4.570,-159.824
0.7221,-59.083,-12.122,-170.376,0.0125,2.810,-160.474
0.7422,-59.928,-16.539,-165.759,-0.0872,359.300,-159.084
0.7623,-59.822,-20.694,-152.831,-0.2366,355.430,-176.749
0.7823,-58.767,-24.518,-133.438,-0.1785,351.560,-174.521
0.8024,-56.779,-27.903,-119.587,-0.1536,348.050,-160.652
0.8225,-53.890,-30.848,-103.888,-0.2117,346.290,-159.866
0.8425,-50.146,-33.266,-80.802,-0.0955,343.120,-144.231
0.8626,-45.607,-35.046,-54.945,-0.0374,340.660,-111.914
0.8826,-40.345,-36.167,-36.476,-0.0125,338.910,-79.497
0.9027,-34.443,-36.716,-6.002,-0.1536,337.500,-64.058
0.9227,-27.995,-36.651,2.309,-0.0042,337.500,0.000
0.9428,-21.103,-36.189,18.007,0.2615,337.850,31.824
