time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s,policy_action,policy_updated,source_time_s,replay_motor_angle_deg,real_pole_angle_unwrapped_deg,sim_pole_angle_unwrapped_deg,real_pole_angle_wrapped_deg,sim_pole_angle_wrapped_deg,sim_pole_vel_deg_s,pole_angle_error_deg
0.0,0.0,5.132,-2.309,-0.004,359.65,0.0,2.333908,1,0.107,5.132,359.65,359.65,359.65,359.65,0.0,0.0
0.005100000000000007,11.132,4.978,-37.4,-0.751,0.0,28.303,2.333908,0,0.1121,4.986279711884754,360.0,359.6150254758951,0.0,359.6150254758951,-9.292885656416113,-0.38497452410490496
0.010000000000000009,11.132,4.912,18.007,1.167,0.0,14.151,2.333908,0,0.117,4.912000000000001,360.0,359.5579762572947,0.0,359.5579762572947,-11.364811421701633,-0.4420237427052598
0.015,11.132,5.242,55.869,0.652,0.0,7.076,2.333908,0,0.122,5.253,360.0,359.54767837951437,0.0,359.54767837951437,3.2514776645326045,-0.4523216204856908
0.020000000000000004,11.132,5.682,70.644,0.494,0.0,3.538,3.502459,1,0.127,5.682,360.0,359.6555990865838,0.0,359.6555990865838,31.13582547937438,-0.3444009134161661
0.02500000000000001,23.132,6.231,85.419,0.286,359.3,-65.947,3.502459,0,0.132,6.1761,359.3,359.9197891149138,359.3,359.9197891149138,59.83791701054734,0.6197891149137718
0.030000000000000013,23.132,6.231,85.419,0.286,359.3,-65.947,3.502459,0,0.137,6.231,359.3,360.32190213843865,359.3,0.3219021384386451,93.69217806630344,1.0219021384386338
0.03499999999999999,23.132,8.165,187.922,0.917,358.95,-61.74,3.502459,0,0.142,8.1101,358.95,361.0579630711381,358.95,1.05796307113809,172.46938207294218,2.1079630711381014
0.039999999999999994,23.132,9.55,225.783,0.577,357.89,-121.306,4.466289,1,0.147,9.55,357.89,362.2730902203398,357.89,2.273090220339782,275.9145507915718,4.3830902203397955
0.045,41.132,11.089,232.247,0.187,356.48,-178.789,4.466289,0,0.152,11.1263,356.4800000000001,364.01083151835553,356.4800000000001,4.0108315183555305,377.0228113173986,7.5308315183554555
