time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s,policy_action,policy_updated,source_time_s,replay_motor_angle_deg,real_pole_angle_unwrapped_deg,sim_pole_angle_unwrapped_deg,real_pole_angle_wrapped_deg,sim_pole_angle_wrapped_deg,sim_pole_vel_deg_s,pole_angle_error_deg
0.0,0.0,-57.201,-2.309,-0.004,0.0,0.0,3.174034,1,0.1065,-57.201,0.0,0.0,0.0,0.0,0.0,0.0
0.0050000000000000044,-51.201,-57.289,-4.156,-0.029,0.0,0.0,3.174034,0,0.1115,-57.0077,0.0,0.05400114421348124,0.0,0.05400114421348124,24.204435498076414,0.054001144213486896
0.010000000000000009,-51.201,-54.564,246.099,-0.818,358.95,-87.077,3.174034,0,0.1165,-54.56400000000001,-1.0499999999999856,0.49463493850781837,358.95,0.49463493850781837,124.18774262965988,1.5446349385078406
0.015,-51.201,-53.135,198.08,-1.042,358.95,-87.077,3.174034,0,0.1215,-53.1702,-1.0499999999999856,1.5669132023391454,358.95,1.5669132023391454,244.16147601920972,2.6169132023391626
0.020000000000000004,-51.201,-52.058,142.673,-0.826,357.19,-187.549,3.747036,1,0.1265,-52.058,-2.809999999999978,3.06000483216088,357.19,3.06000483216088,321.2069343145309,5.870004832160873
0.02500000000000001,-39.201,-51.311,88.189,-0.718,356.13,-183.752,3.747036,0,0.1315,-51.3197,-3.870000000000014,4.86561144321134,356.13,4.86561144321134,375.1777889596764,8.735611443211326
0.030000000000000013,-39.201,-50.651,109.429,0.851,355.43,-150.541,3.747036,0,0.1365,-50.651,-4.56999999999997,6.895114324951983,355.43,6.895114324951983,420.2694220454152,11.46511432495197
0.03499999999999999,-39.201,-49.794,141.749,0.585,355.08,-104.354,3.747036,0,0.1415,-49.7786,-4.919999999999999,9.17016470950097,355.08,9.17016470950097,469.5032004442618,14.090164709500982
0.039999999999999994,-39.201,-48.783,153.754,0.237,354.73,-81.22,3.843246,1,0.1465,-48.78300000000001,-5.269999999999977,11.711092939094252,354.73,11.711092939094252,527.0931086128704,16.981092939094253
0.045,-21.201,-47.684,162.065,0.336,354.73,-81.22,3.843246,0,0.1515,-47.6489,-5.269999999999977,14.579763677490746,354.73,14.579763677490746,593.0627324864694,19.849763677490728
0.05,-21.201,-46.234,252.563,1.623,353.67,-127.532,3.843246,0,0.1565,-46.233999999999995,-6.329999999999963,17.815754382076367,353.67,17.815754382076367,675.1058643061397,24.145754382076348
0.05500000000000001,-21.201,-44.255,314.434,1.117,352.62,-152.872,3.843246,0,0.1615,-44.220000000000006,-7.379999999999999,21.57156497901658,352.62,21.57156497901658,783.1770923641589,28.951564979016553
0.06000000000000001,-21.201,-41.926,355.989,0.519,350.86,-222.65,3.891577,1,0.1665,-41.92600000000001,-9.139999999999992,25.913683311540087,350.86,25.913683311540087,909.698232425918,35.053683311540055
0.06599999999999999,2.799,-39.024,374.458,0.062,348.75,-287.172,3.891577,0,0.1725,-39.023999999999994,-11.250000000000012,32.02017734778776,348.75,32.02017734778776,1073.1322871110622,43.27017734778775
0.071,2.799,-36.123,482.502,2.072,346.99,-288.227,3.891577,0,0.1775,-36.048199999999994,-13.010000000000007,37.91752002599004,346.99,37.91752002599004,1223.2576632872137,50.92752002599002
0.076,2.799,-32.474,561.918,1.009,344.18,-382.299,3.891577,0,0.1825,-32.474,-15.819999999999983,44.601657610654144,344.18,44.601657610654144,1391.4205384200652,60.421657610654165
0.08109999999999999,2.799,-28.584,598.856,0.461,344.18,-382.299,3.870747,1,0.1876,-28.550809843937575,-15.819999999999983,52.3312695943876,344.18,52.3312695943876,1563.6822311579822,68.1512695943876
0.08600000000000001,32.799,-24.518,607.167,0.237,340.66,-467.932,3.870747,0,0.1925,-24.517999999999997,-19.339999999999968,60.50014445170779,340.66,60.50014445170779,1713.0236966100836,79.84014445170777
0.09100000000000001,32.799,-20.034,720.752,2.603,337.5,-513.691,3.870747,0,0.1975,-19.9571,-22.499999999999975,69.53048870255688,337.5,69.53048870255688,1839.5447954524102,92.03048870255691
0.09600000000000002,32.799,-14.781,816.79,1.416,333.63,-578.669,3.870747,0,0.2025,-14.78100000000006,-26.36999999999999,78.99286181828147,333.63,78.99286181828147,1907.008819896738,105.36286181828149
0.10099999999999999,32.799,-14.781,816.79,1.416,329.06,-671.478,3.4982,1,0.2075,-14.218300000000001,-30.94000000000001,88.50893935677216,329.06,88.50893935677216,1898.6313354983556,119.44893935677214
0.106,62.799,-9.154,852.805,0.411,323.79,-774.26,3.4982,0,0.2125,-9.153999999999902,-36.20999999999999,97.85638054556236,323.79,97.85638054556236,1848.3490082069247,134.0663805455623
