time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s,policy_action,policy_updated,source_time_s,replay_motor_angle_deg,real_pole_angle_unwrapped_deg,sim_pole_angle_unwrapped_deg,real_pole_angle_wrapped_deg,sim_pole_angle_wrapped_deg,sim_pole_vel_deg_s,pole_angle_error_deg
0.0,0.0,372.517,1.385,-0.004,359.65,0.0,3.317785,1,0.1064,372.517,359.65,359.65,359.65,359.65,0.0,0.0
0.005100000000000007,366.517,372.539,-2.309,-0.046,359.65,0.0,3.317785,0,0.1115,372.4458453181272,359.65,359.6291658756944,359.65,359.6291658756944,-9.01019829777541,-0.020834124305565638
0.010000000000000009,366.517,371.638,-245.176,-5.094,359.65,0.0,3.317785,0,0.1164,371.638,359.65,359.44443406314315,359.65,359.44443406314315,-56.428250409501906,-0.20556593685682856
0.015,366.517,369.813,-252.563,0.976,1.76,180.876,3.317785,0,0.1214,369.8505,361.76000000000005,358.82184202731605,1.7600000000000477,358.82184202731605,-152.71168527385083,-2.938157972683939
0.020000000000000018,366.517,368.363,-198.08,0.743,2.81,177.812,4.544894,1,0.1264,368.363,362.80999999999995,357.71493120109,2.8099999999999454,357.71493120109,-251.80592369020547,-5.095068798910006
0.024999999999999994,354.517,367.308,-138.979,0.76,3.87,177.381,4.544894,0,0.1314,367.2734019607843,363.87,356.16317336068835,3.8700000000000045,356.16317336068835,-332.8565019029108,-7.706826639311657
0.030100000000000016,354.517,365.879,-108.505,-0.726,4.57,147.036,4.544894,0,0.1365,365.889335627451,364.57000000000005,354.1915060949427,4.57000000000005,354.1915060949427,-411.0899598568656,-10.378493905057326
0.03509999999999999,354.517,365.022,-133.438,-0.643,4.57,147.036,4.544894,0,0.1415,365.106843,364.57000000000005,351.92016154090544,4.57000000000005,351.92016154090544,-466.7428090569603,-12.649838459094553
0.04000000000000001,354.517,365.022,-133.438,-0.643,5.27,130.5,5.462532,1,0.1464,365.022,365.27000000000004,349.5454251368301,5.270000000000039,349.5454251368301,-492.3276335951759,-15.724574863169892
0.04500000000000001,336.517,364.011,-156.525,-0.278,5.62,94.689,5.462532,0,0.1514,363.86425686274515,365.62,346.92471389521285,5.6200000000000045,346.92471389521285,-544.3110777540469,-18.6952861047871
0.050100000000000006,336.517,361.483,-247.022,-1.739,6.33,107.808,5.462532,0,0.1565,361.49250819607846,366.33,343.7631286805258,6.329999999999984,343.7631286805258,-659.511521155625,-22.566871319474103
0.05510000000000001,336.517,359.505,-317.205,-1.108,7.73,170.916,5.462532,0,0.1615,359.700822,367.73,340.05082721154514,7.730000000000018,340.05082721154514,-767.1106511580552,-27.679172788454935
0.06,336.517,359.505,-317.205,-1.108,9.49,229.63,5.848722,1,0.1664,359.505,369.49,336.106262988166,9.490000000000009,336.106262988166,-821.616987718941,-33.383737011834
0.065,312.517,357.175,-351.372,-0.486,9.49,229.63,5.848722,0,0.1714,357.1619,369.49,331.7336275493382,9.490000000000009,331.7336275493382,-902.3229703815707,-37.756372450661786
0.07,312.517,354.714,-370.765,-0.32,11.6,288.146,5.848722,0,0.1764,354.71399999999994,371.59999999999997,326.7132247622538,11.599999999999966,326.7132247622538,-1061.7023339186378,-44.88677523774618
0.0761,312.517,347.416,-585.928,-1.034,13.71,325.62,5.848722,0,0.1825,347.45125329541656,373.71000000000004,319.0577490458291,13.710000000000036,319.0577490458291,-1356.8389136114918,-54.65225095417094
0.08100000000000002,312.517,343.372,-616.402,-0.386,16.88,426.536,5.914852,1,0.1874,343.38386874749904,376.88000000000005,311.56459030641525,16.880000000000052,311.56459030641525,-1588.0593001087507,-65.3154096935848
0.08610000000000001,282.517,339.284,-621.019,-0.062,20.39,505.605,5.914852,0,0.1925,339.27453501960787,380.39000000000004,302.83848578594404,20.390000000000043,302.83848578594404,-1764.7630821740279,-77.551514214056
0.09110000000000001,282.517,334.778,-722.598,-2.437,23.91,546.347,5.914852,0,0.1975,334.70840300000003,383.90999999999997,293.49604749532244,23.909999999999968,293.49604749532244,-1907.340584857134,-90.41395250467752
0.09610000000000002,282.517,329.569,-807.556,-1.324,27.77,594.818,5.914852,0,0.2025,329.561476,387.77,283.5694168194521,27.769999999999982,283.5694168194521,-2016.6378633766476,-104.20058318054788
0.1011,282.517,323.964,-849.111,-0.477,31.99,719.875,5.884161,1,0.2075,323.9707067647059,391.99,273.2953721172224,31.99000000000001,273.2953721172224,-2062.2298763596405,-118.69462788277758
0.10620000000000002,252.517,318.316,-847.264,-0.145,31.99,719.875,5.884161,0,0.2126,318.296512605042,391.99,262.870522013352,31.99000000000001,262.870522013352,-2026.6586363845875,-129.119477986648
0.1111,252.517,312.359,-925.757,-2.063,37.27,786.952,5.884161,0,0.2175,312.96077857142853,397.27000000000004,253.2872867050606,37.27000000000004,253.2872867050606,-1925.8871017891788,-143.98271329493946
0.11599999999999999,252.517,312.359,-925.757,-2.063,42.89,875.893,5.884161,0,0.2224,312.35899999999987,402.89,244.21652615480176,42.889999999999986,244.21652615480176,-1813.9982952920896,-158.67347384519826
0.121,252.517,305.853,-999.633,-1.233,48.87,936.613,5.651092,1,0.2274,305.17409019607845,408.87,235.92556441102525,48.870000000000005,235.92556441102525,-1561.7735811993182,-172.94443558897478
0.12610000000000002,222.517,292.292,-1008.867,0.095,55.55,1022.123,5.651092,0,0.2325,292.5446068627449,415.55,229.64977985570303,55.55000000000001,229.64977985570303,-1079.78039127044,174.099779855703
0.131,222.517,292.292,-1008.867,0.095,61.52,1110.762,5.651092,0,0.2374,290.90435294117646,421.52,225.69751945768124,61.51999999999998,225.69751945768124,-697.4689794673153,164.17751945768123
0.1361,222.517,278.138,-1103.059,-0.934,69.26,1201.463,5.651092,0,0.2425,278.40165294117617,429.26000000000005,223.61935144054414,69.26000000000005,223.61935144054414,-269.1909541447866,154.35935144054406
0.1411,222.517,278.138,-1103.059,-0.934,69.26,1201.463,4.7987,1,0.2475,276.677849,429.26000000000005,223.8441416914746,69.26000000000005,223.8441416914746,173.07457914978994,154.58414169147454
