time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s,policy_action,policy_updated
0.1065,0.000,-57.201,-2.309,-0.004,0.000,0.000,3.174034,1
0.1115,-51.201,-57.289,-4.156,-0.029,0.000,0.000,3.174034,0
0.1165,-51.201,-54.564,246.099,-0.818,358.950,-87.077,3.174034,0
0.1215,-51.201,-53.135,198.080,-1.042,358.950,-87.077,3.174034,0
0.1265,-51.201,-52.058,142.673,-0.826,357.190,-187.549,3.747036,1
0.1315,-39.201,-51.311,88.189,-0.718,356.130,-183.752,3.747036,0
0.1365,-39.201,-50.651,109.429,0.851,355.430,-150.541,3.747036,0
0.1415,-39.201,-49.794,141.749,0.585,355.080,-104.354,3.747036,0
0.1465,-39.201,-48.783,153.754,0.237,354.730,-81.220,3.843246,1
0.1515,-21.201,-47.684,162.065,0.336,354.730,-81.220,3.843246,0
0.1565,-21.201,-46.234,252.563,1.623,353.670,-127.532,3.843246,0
0.1615,-21.201,-44.255,314.434,1.117,352.620,-152.872,3.843246,0
0.1665,-21.201,-41.926,355.989,0.519,350.860,-222.650,3.891577,1
0.1725,2.799,-39.024,374.458,0.062,348.750,-287.172,3.891577,0
0.1775,2.799,-36.123,482.502,2.072,346.990,-288.227,3.891577,0
0.1825,2.799,-32.474,561.918,1.009,344.180,-382.299,3.891577,0
0.1876,2.799,-28.584,598.856,0.461,344.180,-382.299,3.870747,1
0.1925,32.799,-24.518,607.167,0.237,340.660,-467.932,3.870747,0
0.1975,32.799,-20.034,720.752,2.603,337.500,-513.691,3.870747,0
0.2025,32.799,-14.781,816.790,1.416,333.630,-578.669,3.870747,0
0.2075,32.799,-14.781,816.790,1.416,329.060,-671.478,3.498200,1
0.2125,62.799,-9.154,852.805,0.411,323.790,-774.260,3.498200,0
0.2176,62.799,2.517,934.068,2.179,323.790,-774.260,3.498200,0
0.2225,62.799,9.066,1002.403,1.316,318.160,-847.810,3.498200,0
0.2275,62.799,9.066,1002.403,1.316,311.840,-961.811,2.943310,1
0.2325,86.799,22.738,1019.025,-0.145,305.160,-1036.343,2.943310,0
0.2375,86.799,29.595,1040.265,1.017,297.770,-1136.311,2.943310,0
0.2425,86.799,36.695,1060.581,0.361,290.390,-1182.688,2.943310,0
0.2476,86.799,43.728,1054.116,-0.278,290.390,-1182.688,2.761017,1
0.2525,104.799,50.651,1008.867,-0.843,282.660,-1202.139,2.761017,0
0.2575,104.799,57.355,990.398,-0.087,275.270,-1249.064,2.761017,0
0.2635,104.799,57.355,990.398,-0.087,267.890,-1242.837,2.761017,0
0.2685,104.799,71.224,916.523,-0.859,260.510,-1233.003,4.310430,1
0.2735,116.799,77.049,844.494,-1.349,253.830,-1167.651,4.310430,0
0.2785,116.799,82.499,799.245,-0.486,247.150,-1146.003,4.310430,0
0.2835,116.799,87.621,753.996,-0.859,247.150,-1146.003,4.310430,0
0.2885,116.799,87.621,753.996,-0.859,241.170,-1065.159,5.324224,1
0.2935,122.799,96.698,622.866,-1.316,235.900,-976.589,5.324224,0
0.2985,122.799,100.654,570.229,-0.760,229.920,-988.689,5.324224,0
0.3035,122.799,104.259,520.363,-0.793,224.650,-933.072,5.324224,0
0.3085,122.799,104.259,520.363,-0.793,219.020,-934.368,6.291191,1
0.3136,125.824,110.391,409.549,-0.942,219.020,-934.368,6.291191,0
0.3185,125.824,112.941,368.918,-0.693,214.100,-869.844,6.291191,0
0.3235,125.824,112.941,368.918,-0.693,208.480,-913.782,6.291191,0
0.3285,125.824,117.271,290.425,-0.677,203.550,-868.286,6.452777,1
0.3335,129.056,119.007,247.946,-0.527,197.930,-900.428,6.452777,0
0.3385,129.056,119.007,247.946,-0.527,192.300,-921.021,6.452777,0
0.3435,129.056,121.952,203.620,-0.046,192.300,-921.021,6.452777,0
0.3495,129.056,121.952,203.620,-0.046,186.680,-924.315,6.589051,1
0.3545,131.781,123.381,172.223,-0.469,181.050,-906.195,6.589051,0
