time_s,target_angle_deg,motor_angle_deg,motor_vel_deg_s,motor_torque_nm,pole_angle_deg,pole_vel_deg_s,policy_action,policy_updated
0.1070,0.000,5.132,-2.309,-0.004,359.650,0.000,2.333908,1
0.1121,11.132,4.978,-37.400,-0.751,0.000,28.303,2.333908,0
0.1170,11.132,4.912,18.007,1.167,0.000,14.151,2.333908,0
0.1220,11.132,5.242,55.869,0.652,0.000,7.076,2.333908,0
0.1270,11.132,5.682,70.644,0.494,0.000,3.538,3.502459,1
0.1320,23.132,6.231,85.419,0.286,359.300,-65.947,3.502459,0
0.1370,23.132,6.231,85.419,0.286,359.300,-65.947,3.502459,0
0.1420,23.132,8.165,187.922,0.917,358.950,-61.740,3.502459,0
0.1470,23.132,9.550,225.783,0.577,357.890,-121.306,4.466289,1
0.1520,41.132,11.089,232.247,0.187,356.480,-178.789,4.466289,0
0.1570,41.132,13.001,319.975,1.739,355.080,-205.905,4.466289,0
0.1620,41.132,15.419,381.846,1.075,353.320,-248.916,4.466289,0
0.1670,41.132,15.419,381.846,1.075,353.320,-248.916,4.949677,1
0.1732,65.132,21.573,433.559,0.228,350.860,-318.029,4.949677,0
0.1780,65.132,24.804,529.598,2.063,348.400,-372.685,4.949677,0
0.1830,65.132,28.694,604.397,1.142,345.590,-425.317,4.949677,0
0.1880,65.132,32.892,639.488,0.552,342.070,-505.019,5.036994,1
0.1930,95.132,37.156,640.412,0.004,338.200,-577.679,5.036994,0
0.1980,95.132,41.816,741.067,2.528,334.690,-580.003,5.036994,0
0.2031,95.132,47.179,832.489,1.225,334.690,-580.003,5.036994,0
0.2080,95.132,52.915,868.503,0.594,329.770,-693.846,4.522775,1
0.2130,119.132,52.915,868.503,0.594,324.490,-770.102,4.522775,0
0.2180,119.132,58.718,867.580,0.071,318.870,-880.619,4.522775,0
0.2230,119.132,64.674,913.752,1.382,312.890,-939.312,4.522775,0
0.2280,119.132,77.444,966.389,0.029,306.210,-1025.511,2.731358,1
0.2331,137.132,77.444,966.389,0.029,306.210,-1025.511,2.731358,0
0.2380,137.132,90.016,935.915,0.187,299.880,-1027.407,2.731358,0
0.2430,137.132,96.237,932.221,0.004,292.850,-1114.436,2.731358,0
0.2480,137.132,102.391,903.594,-0.295,285.820,-1144.724,1.986496,1
0.2530,149.132,108.237,845.417,-1.009,278.790,-1160.260,1.986496,0
0.2580,149.132,113.820,802.015,-0.461,272.110,-1128.209,1.986496,0
0.2640,149.132,119.886,765.077,-0.801,265.780,-1096.728,1.986496,0
0.2690,149.132,124.722,703.206,-0.901,265.780,-1096.728,1.803878,1
0.2740,155.132,124.722,703.206,-0.901,259.100,-1070.848,1.803878,0
0.2790,155.132,133.074,575.770,-0.876,253.480,-1037.574,1.803878,0
0.2840,155.132,136.722,527.751,-0.884,247.850,-987.584,1.803878,0
0.2890,155.132,139.997,470.497,-0.992,242.580,-933.454,2.503717,1
0.2940,155.132,142.899,415.090,-1.075,237.300,-905.366,2.503717,0
0.2990,155.132,145.404,353.219,-0.751,237.300,-905.366,2.503717,0
0.3040,155.132,147.536,294.118,-0.793,232.380,-857.611,2.503717,0
0.3090,155.132,149.317,248.869,-0.876,227.110,-874.108,3.363789,1
0.3140,149.132,150.767,203.620,-0.610,222.190,-847.065,3.363789,0
0.3190,149.132,151.844,133.438,-1.133,216.910,-863.974,3.363789,0
0.3240,149.132,151.844,133.438,-1.133,211.640,-871.356,3.363789,0
0.3291,149.132,152.460,-13.390,-0.710,211.640,-871.356,4.142574,1
0.3341,137.132,152.240,-38.323,-0.394,206.020,-865.432,4.142574,0
0.3390,137.132,152.240,-38.323,-0.394,200.390,-946.708,4.142574,0
0.3440,137.132,150.789,-161.142,-0.859,194.410,-971.018,4.142574,0
0.3501,137.132,149.361,-195.309,-0.660,187.730,-1042.982,5.044262,1
0.3550,119.132,147.976,-208.238,-0.087,181.410,-1042.106,5.044262,0
0.3600,119.132,146.240,-302.429,-1.872,175.080,-1054.691,5.044262,0
0.3651,119.132,143.954,-371.688,-1.034,175.080,-1054.691,5.044262,0
0.3700,119.132,141.338,-404.009,-0.428,167.700,-1136.375,5.237978,1
0.3751,104.760,138.613,-417.860,-0.237,160.310,-1179.024,5.237978,0
